report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,2129869142.28,85.321322384965,1337672163.55,257.324560661487,890782896.21,137.893986539847,13.17,69.0663333474,64.6326735776,1216893859.45,0.883990620348,41.4046416786,0.7533,6.096670839413,11536741449.14,1775635739
2025年报,年报,2025-12-31,2026-04-22,5555253610.07,30.087818755564,1704239280.88,11.398485612054,1725142782.32,12.106976642774,19.6,57.5904415305,30.6835036928,2488264347.5,1.459780900942,40.7589325154,0.9598,5.344314841407,10161162963.97,1775635739
2025三季报,三季报,2025-09-30,2025-10-31,4099425888.9,24.359112969573,1364075096.09,4.941610320994,1369972784.94,5.011082431097,15.88,57.6490100394,33.0219328374,2741992001.13,2.025539208706,43.9353898169,0.7682,5.157796592947,9818811059.56,1775635739
2025中报,中报,2025-06-30,2025-08-26,2473099239.08,12.502131899281,795675116.05,-9.931699114023,801447914.68,-10.423957779631,9.58,56.8964537175,31.6653129048,1645491905,2.101214660964,40.879353065,0.4481,4.831805819302,9070021036.86,1775635739
2025一季报,一季报,2025-03-31,2025-04-28,1149284450.85,50.374633272655,374357743.86,63.224754333096,374445318.76,64.078088174609,4.63,55.5658699374,31.8569390771,1198191035.2,3.272611784516,42.3425993979,0.2108,4.661400796935,8771830914.05,1775635739
2024年报,年报,2024-12-31,2025-04-28,4270387237.8,15.22885771412,1529858571.7,57.823975632563,1538836238.37,50.233877393667,21.28,62.9517269456,35.1701966378,1815202654.66,1.208601316543,34.385423069,0.835,4.449413442596,7982180205.3,1775635739
2024三季报,三季报,2024-09-30,2024-10-31,3296441885.93,35.954958500777,1299841971.09,139.401377836516,1304598289.27,130.961826609408,18.35,64.3069116042,38.8335016666,1253970932.48,0.979570036953,31.8809262203,0.7075,4.165102846688,7741974046.9,1775635739
2024中报,中报,2024-06-30,2024-08-28,2198268777.07,76.423275594257,883413041.24,566.433162595736,894712352.56,467.873352638674,12.79,64.6314262182,39.5699957968,874753229.32,1.005631245901,35.2097215786,0.4808,3.927154933313,7310977969.75,1775635739
2024一季报,一季报,2024-03-31,2024-04-30,764280800.45,66.512904081125,229351084.27,1539.36726905463,228211653.93,885.287203804207,3.48,55.9100393204,29.4186254002,135575154.45,0.602982602449,40.0498885196,0.1248,3.646226629071,6803906675.07,1775635739
2023年报,年报,2023-12-31,2024-04-30,3706005008.22,77.670310952271,969344844.83,457.413585385939,1024293764.54,410.109472288651,16.12,52.8764804511,25.7239660199,1749643341,1.835293806903,40.5791248612,0.5276,3.525095330599,6585875374.62,1775635739
2023三季报,三季报,2023-09-30,2023-10-30,2424657344.08,47.129926276184,542955091.92,136.200938746197,564854507.96,131.504818913124,9.33,48.4490516789,22.0757141535,1203485008.33,2.248410219192,41.9703067672,0.2955,3.305578073042,6190898685.48,1775635739
2023中报,中报,2023-06-30,2023-08-29,1246019704.41,23.876393080263,132558385.57,3.028201991587,157554910.51,17.443930310415,2.36,40.2437979075,10.5511728598,748438299.45,5.692858050054,46.6987505724,0.0722,3.081854744993,5786481902.73,1775635739
