report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-28,950601790.07,10.06378199752,90670563.47,22.903956210456,85861770.3,45.955296328066,9.14,32.4681536479,9.5029696529,548783040.49,6.0749500499,76.1789148475,0.7584,8.541262809778,1016446556.67,121861109
2025年报,年报,2025-12-31,2026-04-28,3227045720.68,15.839214974092,195098225.52,8.577730671362,174318630.38,6.076765662964,22.86,33.4583428949,5.8630160145,738858427,3.905125828886,76.808734296,1.6417,7.774570947241,923351799.88,121861109
2025三季报,三季报,2025-09-30,2025-10-28,2612951311.05,16.295691889488,231113717.46,31.517854333122,209157749.64,29.753410085464,25.22,33.861671379,8.6730764141,761781138.02,3.361442797228,77.090162005,1.9477,8.183455660083,969612542.44,121861109
2025中报,中报,2025-06-30,2025-08-28,1915877874.38,18.270353408206,229680964.69,42.180117220342,211458395.46,39.051547049374,25.97,36.2976098106,11.9832051004,179562410.92,0.782122200139,74.5892663576,1.9396,7.955283561879,946200301.57,121861109
2025一季报,一季报,2025-03-31,2025-04-26,863682650.93,22.456842343951,73773510.85,47.003859257286,58827444.06,27.922709304535,8.55,32.0173971542,8.5060103512,468579638.55,6.378276032627,79.9971693376,0.6199,7.001231270593,829727245.68,121861109
2024年报,年报,2024-12-31,2025-04-26,2785797297.92,25.903988214441,179685304.08,16.843394252952,164332527.76,16.249174579448,25.96,34.5560760382,6.3265143541,666747270.19,3.783094899058,79.0418115345,1.5191,6.707523318512,802350956.76,121861109
2024三季报,三季报,2024-09-30,2024-10-29,2246816944.46,25.285340437047,175728017.03,50.157332899846,161196341.2,40.451624835252,25.43,34.9779364473,7.6968767548,690351682.61,3.991978234441,79.4441766318,1.4922,6.548309172067,792641175.38,121861109
2024中报,中报,2024-06-30,2024-08-29,1619913883.04,29.433261717453,161542253.01,81.823357686859,152071947.38,55.35980844053,23.57,36.0386597666,9.9726876374,224569069.06,1.390099204639,77.28171057,1.3718,6.325110847127,767176039.39,121861109
2024一季报,一季报,2024-03-31,2024-04-27,705295542.82,35.968740650438,50184744.28,886.442181513386,45986708.99,322.311666777491,7.97,32.4221191369,7.1947605464,444448938.95,8.758593892196,82.110311965,0.4262,5.401258437881,646540560.72,121861109
2023年报,年报,2023-12-31,2024-04-27,2212636261.51,23.087366282032,153783023.19,1035.24297110744,141362317.93,2461.07304196576,29.85,36.5021601837,6.8832366797,607394990.81,3.988122387509,81.2904102282,1.3059,4.946883219185,589782553.49,121861109
2023三季报,三季报,2023-09-30,2023-10-28,1793359810.99,22.249370576909,117029261,1365.07994147826,114770008.1,2136.25809666248,23.41,34.4321188367,6.3742464696,659588307.55,5.770011293809,83.5241643364,0.9857,4.609681223724,547524466.34,121861109
2023中报,中报,2023-06-30,2023-08-30,1251543738.87,18.430817812858,88845709.96,90.8467976721,97883711.95,154.245223303421,18.31,35.0839606937,6.9818247542,235342287.43,2.693301634777,83.7820684278,0.7544,4.496718208988,515649459.54,121861109
