report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-25,359781074.05,7.38579164485,77468268.66,6.575090230814,71867508.63,4.02095687036,4.7,71.1061565774,20.7294962046,-26811153.5,-0.359491344015,64.3849082393,0.1534,3.370847638716,1916704534.12,509548516
2025年报,年报,2025-12-31,2026-04-21,1290501146.98,19.616547902498,197018496.61,2.219482992079,174672648.34,8.882248192944,13.31,71.7471732549,13.1367222475,113274335.27,0.668168672746,61.4717508494,0.3975,3.146575394069,1768361082.5,509548516
2025三季报,三季报,2025-09-30,2025-10-27,940601669.56,21.004684826481,169936444.05,22.448551385863,156659340.6,31.78503610592,11.58,73.6089095519,15.9797557664,16637887.1,0.110693543545,60.0061947036,0.3402,3.074632269695,1740257197.55,509548516
2025中报,中报,2025-06-30,2025-08-23,625427361.68,24.401026880299,119406060.06,21.843309135305,110285432.56,29.280722708255,8.28,73.0746323094,17.1515370229,6208630.67,0.057878318271,59.3788488868,0.2397,2.968845034406,1676368444.33,509548516
2025一季报,一季报,2025-03-31,2025-04-28,335036012.25,15.336417198699,72688907.41,10.522802184522,69089451.58,9.19765725692,5.1,75.4891301957,20.9301560149,-24008900.79,-0.342379947139,58.8895749899,0.1457,2.959445539582,1677695556.85,509548516
2024年报,年报,2024-12-31,2025-03-07,1078865064.75,9.926818278612,192740650.65,9.167501421034,160423440.22,54.124286906562,14.02,75.0371394302,17.2967579317,114256746.75,0.612279919511,60.9749165396,0.3932,2.667992673189,1549405605.07,509548516
2024三季报,三季报,2024-09-30,2024-10-31,777326655.5,6.90688796793,138781914.63,13.360496439734,118874908.13,9.751382319313,10.54,76.8743603956,17.3065431383,51107891.87,0.379904184861,61.4395519819,0.2806,2.42132555215,1377595468.22,509548516
2024中报,中报,2024-06-30,2024-08-31,502750963.85,5.716357336914,97999685.75,12.487996799245,85306943.1,11.012651481908,7.66,76.8604889369,19.0750212164,2826248.07,0.029470827963,62.7395408194,0.1975,2.250834013437,1241270697.56,509548516
2024一季报,一季报,2024-03-31,2024-04-29,290485885.02,3.200535431872,65768245.08,12.412241056318,63270085.93,15.407336002379,5.53,78.6821763179,21.5883168973,-16674003.66,-0.265886369172,61.3536563997,0.1317,2.281341995661,1256577489.32,509548516
2023年报,年报,2023-12-31,2024-03-30,981439362.7,23.631413715687,176554971.16,73.53914408637,104087060.8,29.024877968502,13.86,74.2340137404,19.2389265609,94738878.02,0.501746010495,58.1889552817,0.3574,2.380306320481,1304621545.88,509548516
2023三季报,三季报,2023-09-30,2023-10-18,727106241.96,25.076690836245,122425288.34,28.081099888909,108312902.87,38.846660337165,9.58,74.0096128276,17.0707757955,-19843010.5,-0.159866118601,54.5393644439,0.2421,2.388221994303,1268464685.52,509548516
2023中报,中报,2023-06-30,2023-08-19,475565916.68,26.942121058512,87120127.07,16.873464448985,76844343.38,23.918023627546,6.99,75.8250771496,18.3100882792,2157068.34,0.024772095453,48.3191356169,0.1726,2.559850859877,1352940434.66,509548516
