report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-25,8129836961.67,18.620434210064,1075858089.68,-15.291685979756,1048139344.64,-13.963865313456,4.74,57.679586218,14.8763425172,1056054993.83,0.873189549301,31.761174148,0.65,13.967956468257,39675657353.1,1664217858
2025年报,年报,2025-12-31,2026-03-21,31602577614.08,14.433218217679,3421001213.82,1.577018901796,3134204805.26,0.523994612818,16.07,54.0299923103,13.1823485971,5513082840.18,1.323363705826,34.5764640062,2.06,13.322619432539,38472100112.99,1664217858
2025三季报,三季报,2025-09-30,2025-10-25,21986403962.07,11.378339976708,2352826955.66,-20.508114496039,2186279898.42,-20.564695891479,11.47,53.5177546334,13.1867715639,2925359803.57,1.008989399564,33.9166043552,1.42,12.687775778311,37379399889.46,1664217858
2025中报,中报,2025-06-30,2025-08-16,14810160218.62,4.991824871186,1815258362.79,-24.312519458041,1697709126.14,-26.461438996496,8.8,53.544281786,14.9329158878,2860194941.31,1.293276120003,34.1939451721,1.09,12.781726560013,37680476285.45,1664217858
2025一季报,一季报,2025-03-31,2025-04-29,6853656383.75,-6.037975237268,1270073784.52,-6.874204010741,1218254804.75,-8.252916321298,6.18,53.2783314324,19.42581046,979855112.07,0.735970469876,38.9094226617,0.77,16.490070313901,35338696898.69,1664217858
2024年报,年报,2024-12-31,2025-03-13,27616611772.61,11.632049474569,3367888968.2,18.050109986671,3117867348.32,15.008687388556,17.33,51.856425227,13.6792352215,4402199387.17,1.165299329824,36.9883468669,2.02,15.497260519768,25256313367.67,1664217858
2024三季报,三季报,2024-09-30,2024-10-26,19740286995.36,6.084913364709,2959832869.41,23.192918415295,2752277369.56,19.478807950669,14.99,52.6802472708,16.4370330475,3204267651.34,0.987533630957,36.0704341416,1.78,15.987138154839,26064034999.34,1664217858
2024中报,中报,2024-06-30,2024-08-24,14106012765.08,7.301672692586,2398360138.02,27.767760399805,2308597153.62,26.333501772572,12.32,53.5632681808,18.2691838894,2363114807.27,0.916983247885,37.6536844671,1.44,15.532795237815,25373869624.3,1664217858
2024一季报,一季报,2024-03-31,2024-04-20,7294070557.82,14.823704520638,1363825963.61,18.487422989512,1327840358.41,17.381910605635,6.94,53.420635416,19.922596355,786578192.24,0.541285016595,37.6295616926,1.07,20.588833666089,25726355335.88,1664217858
2023年报,年报,2023-12-31,2024-03-23,24738963319.76,36.83462498794,2852931664.85,16.503153152261,2710984203.99,22.175995696471,15.86,53.2428884102,12.8278562576,4191742949.8,1.320866911822,39.5695964576,2.24,19.19393743993,24261873936.42,1664217858
2023三季报,三季报,2023-09-30,2023-10-28,18608005954.15,53.649040428716,2402599847.04,23.062810868421,2303569492.17,29.20848046274,13.53,51.7914700337,14.4839758406,3050175057.28,1.131715169581,38.9455990448,1.88,18.72229973002,23626869077.69,1664217858
2023中报,中报,2023-06-30,2023-08-30,13146125695.07,56.483918407443,1877124660.02,30.986459522832,1827383173.29,37.218542720312,10.74,52.2182270444,15.668948064,1771924806.01,0.860216297985,40.8873506008,1.47,18.168099221922,22974463723.54,1664217858
