report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-27,704628836.73,12.538318645046,128528625.83,11.190945122548,121082298.05,5.885718643007,4.46,36.2272195337,18.2406139417,-80810542.55,-0.628735754608,23.3372805186,0.32,7.361766063648,2944780043.12,400010000
2025年报,年报,2025-12-31,2026-04-27,3594649511.23,25.829141680523,703507797.2,32.394816731524,694157387.83,33.402004027901,30.6,37.2031319488,19.5709705495,1039838003.65,1.478076018189,31.4101455747,1.87,7.040585608485,2816304649.25,400010000
2025三季报,三季报,2025-09-30,2025-10-28,2496819243.12,24.264968608721,483469539.81,38.067932854751,477753552.33,40.04326940783,23.01,37.7700623395,19.3634177221,791059515.12,1.636213763189,35.6501670913,1.31,6.850488378691,2740263856.36,400010000
2025中报,中报,2025-06-30,2025-08-29,1449837585.39,22.36964568546,265442984.95,34.700006431295,261093491.74,37.932986539572,14.13,37.320545015,18.3084634876,362878703.62,1.367068350623,30.4319668558,0.74,5.588184320944,2011746355.54,400010000
2025一季报,一季报,2025-03-31,2025-04-25,626123479.73,26.752080438322,115592709.18,40.313253799743,114351868.79,46.292307069379,6.41,35.1467720177,18.4616474102,7010849.63,0.060651313389,29.9686469939,0.32,5.172130795056,1861967086.22,400010000
2024年报,年报,2024-12-31,2025-04-03,2856770270.56,28.572671667281,531371102.41,59.71508901124,520350044.88,58.109070115236,35.88,35.8379681538,18.600414177,673395992.43,1.267280040965,30.1557728454,1.48,4.85,1746393137.56,400010000
2024三季报,三季报,2024-09-30,2024-12-30,2009270409.09,32.603289048871,350167870.13,71.691819781575,341147100,67.229954293849,,35.5005001713,17.4276129557,471470289.6,1.346412192029,,0.97,,,400010000
2024中报,中报,2024-06-30,2024-12-30,1184801653.44,30.786850259203,197062340.22,73.035692979516,189290102.6,69.563280150564,15,34.7377742363,16.6325173203,178464934.01,0.905626786989,33.2897336533,0.55,3.92,1412179743.86,400010000
2024一季报,一季报,2024-03-31,2024-06-30,493974913.52,41.423263682179,82381889.13,89.599840576842,78166700,82.873031581262,6.56,34.7766371223,16.6773426899,-31051447.67,-0.376920801379,,0.23,,,400010000
2023年报,年报,2023-12-31,2024-06-30,2221910950.06,37.130715191703,332699374.68,61.771411385886,329108282.34,65.635242397126,31.72,34.4321609104,14.9735692455,598716401.37,1.799571766391,38.4526671904,0.92,3.38,1215154052.73,400010000
2023三季报,三季报,2023-09-30,2024-12-30,1515249300,33.117998782896,203951400,67.093156150534,203998800,78.210805404012,,,,,,,,,,400010000
2023中报,中报,2023-06-30,2023-09-28,905902734.94,26.423317511397,113885370.6,58.778272241496,111633900,64.433253154731,12.12,33.7047431544,12.5714788363,257844538.03,2.264070764064,37.5967542001,0.32,2.77,996343716.25,400010000
