date,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source
2025-07-30,46.48,79.47,119.47,46.48,309816,1741051309.45,489.87,433.36,64.57,88.71,eastmoney
2025-07-31,57.47,59.66,67.77,57.46,260065,1623759313.49,12.97,-24.93,-19.81,74.46,eastmoney
2025-08-01,57.08,59.09,64.55,57.07,180564,1108743956.81,12.54,-0.96,-0.57,51.70,eastmoney
2025-08-04,59.09,52.44,60.31,52.23,177934,980658259.26,13.67,-11.25,-6.65,50.95,eastmoney
2025-08-05,50.77,48.28,51.41,48.19,163045,813815147.60,6.14,-7.93,-4.16,46.68,eastmoney
2025-08-06,47.29,45.30,47.71,45.18,143700,664870519.28,5.24,-6.17,-2.98,41.15,eastmoney
2025-08-07,44.93,45.60,45.97,44.48,95371,437757222.58,3.29,0.66,0.30,27.31,eastmoney
2025-08-08,45.47,44.49,45.72,44.47,74087,336865350.78,2.74,-2.43,-1.11,21.21,eastmoney
2025-08-11,44.47,46.42,46.73,44.37,99927,462634711.44,5.30,4.34,1.93,28.61,eastmoney
2025-08-12,45.99,46.22,46.62,45.47,61304,284702292.78,2.48,-0.43,-0.20,17.55,eastmoney
2025-08-13,45.98,48.13,49.40,45.98,103545,503212640.96,7.40,4.13,1.91,29.65,eastmoney
2025-08-14,47.47,46.19,47.87,46.16,69370,328916055.38,3.55,-4.03,-1.94,19.86,eastmoney
2025-08-15,45.70,47.76,48.67,45.70,63483,303301636.70,6.43,3.40,1.57,18.18,eastmoney
2025-08-18,47.76,48.16,48.84,47.15,57930,281063168.80,3.54,0.84,0.40,16.59,eastmoney
2025-08-19,47.96,48.05,49.31,47.92,52858,258953505.37,2.89,-0.23,-0.11,15.13,eastmoney
2025-08-20,47.67,49.11,49.13,47.55,55227,270949123.14,3.29,2.21,1.06,15.81,eastmoney
2025-08-21,49.11,54.07,54.07,48.14,117540,610245574.66,12.07,10.10,4.96,33.66,eastmoney
2025-08-22,54.39,52.88,55.90,52.30,98992,534221141.67,6.66,-2.20,-1.19,28.34,eastmoney
2025-08-25,52.86,53.55,54.82,52.77,76965,419424635.66,3.88,1.27,0.67,22.04,eastmoney
2025-08-26,53.09,53.33,55.02,52.77,61862,335698414.20,4.20,-0.41,-0.22,17.71,eastmoney
2025-08-27,52.97,51.27,53.34,50.98,58094,306819929.08,4.43,-3.86,-2.06,16.63,eastmoney
2025-08-28,51.22,51.49,51.95,49.88,39876,204746078.44,4.04,0.43,0.22,11.42,eastmoney
2025-08-29,51.82,53.55,55.47,51.82,82518,450580701.27,7.09,4.00,2.06,23.63,eastmoney
2025-09-01,52.73,54.91,55.59,52.49,64647,355193575.99,5.79,2.54,1.36,18.51,eastmoney
2025-09-02,54.47,52.98,54.91,52.46,48226,261329436.18,4.46,-3.51,-1.93,13.81,eastmoney
2025-09-03,53.47,50.59,53.47,50.22,41952,218047210.48,6.13,-4.51,-2.39,12.01,eastmoney
2025-09-04,50.79,50.98,52.59,50.17,32412,166759655.70,4.78,0.77,0.39,9.28,eastmoney
2025-09-05,50.97,51.36,51.46,49.96,35082,180201259.19,2.94,0.75,0.38,10.05,eastmoney
2025-09-08,51.36,52.06,52.81,50.80,32791,171990928.02,3.91,1.36,0.70,9.39,eastmoney
2025-09-09,51.83,53.94,54.14,51.27,70487,378443492.94,5.51,3.61,1.88,20.18,eastmoney
2025-09-10,53.67,54.30,55.47,53.06,64998,357265552.10,4.47,0.67,0.36,18.61,eastmoney
2025-09-11,53.67,54.41,55.39,53.13,52902,290196356.05,4.16,0.20,0.11,15.15,eastmoney
