report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-29,312919208.96,20.606372734628,55257416.05,5.507602762814,54583326.55,5.89946118072,2.71,33.147347344,17.6586845639,10897847.61,0.197219638358,17.9572671376,0.2979,11.143578756567,2067169128.77,185503165
2025年报,年报,2025-12-31,2026-04-29,1189401696.18,12.522703454087,241631782.44,11.101179865807,224315009.06,9.710796723042,12.58,35.4267594433,20.3154059067,155615618.71,0.644019661398,18.3853138653,1.3026,10.848674035885,2012463369.71,185503165
2025三季报,三季报,2025-09-30,2025-10-27,887582444.52,14.25464899294,200909537.56,22.712733946997,192547818.11,26.006171835349,10.55,37.9965780838,22.6355916344,132420318.02,0.659104190016,16.5189637936,1.0831,10.648921473712,1975408637.21,185503165
2025中报,中报,2025-06-30,2025-08-26,570425817.06,16.244746388341,135060783.64,29.907467251749,129061620.66,31.517882620033,7.17,37.1588435342,23.6771863406,93134146.49,0.689572087322,16.2007685644,0.7281,10.288640935695,1908575457.12,185503165
2025一季报,一季报,2025-03-31,2025-04-18,259454954.05,17.997018637787,52372923.47,22.691598109674,51542591.38,21.434170690121,2.8,36.6319094303,20.1857481048,27026663.2,0.516042668794,15.1762191624,0.2823,10.206548495601,1893347049.66,185503165
2024年报,年报,2024-12-31,2025-04-18,1057032634.01,14.044755460935,217488043.54,31.184587494372,204460286.28,27.605920879477,13.87,35.6278508319,20.5753385981,68292066.41,0.314003773718,16.1778414774,1.2506,9.912188052694,1838742255.85,185503165
2024三季报,三季报,2024-09-30,2024-10-22,776845802.2,14.751241652349,163723463,32.170128613942,152808243.68,,11.03,36.0478745868,21.0754132334,21293844.87,0.130059824535,16.5113008213,0.9628,9.628880438078,1786187796.67,185503165
2024中报,中报,2024-06-30,2024-08-28,490711051.28,14.015393505079,103966913.14,25.384089542765,98132374.16,22.80941437998,7.74,36.7484086245,21.1869923999,-16933907.07,-0.162877847948,15.0322842153,0.6405,9.299568860725,1725099456.8,185503165
2024一季报,一季报,2024-03-31,2024-04-25,219882635.21,10.874349906834,42686642.18,32.209927303115,42444882.76,35.536814316616,4.43,37.4548168442,19.4133757489,-18801446.34,-0.440452689174,19.2165782612,0.3068,9.225831004662,1711420851.12,185503165
2023年报,年报,2023-12-31,2024-03-07,926857732.07,10.065606163498,165787801.52,25.370453500772,160227899.2,28.523309889756,19.07,33.7860198944,17.8870818879,126631580.22,0.7638172354,27.4737849032,1.1917,6.77511715903,942575742.41,185503165
2023三季报,三季报,2023-09-30,2024-10-22,676982480.55,,123873272.06,,,,,33.385382698,18.2978549104,66622425.13,0.537827281237,,0.8904,,,185503165
2023中报,中报,2023-06-30,2023-09-26,430390174.69,6.936075390575,82918744.73,57.771454938786,79906230.85,59.973394935305,9.89,33.6347051845,19.2659474138,35187358.54,0.424359517918,30.1665263526,0.596,6.18,859251025.79,185503165
