report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-24,2032119346.79,15.519936709372,231285868.64,-7.629115711567,221475754.12,-8.199566426588,2.6,30.4616462639,11.9681655762,45643449.74,0.187672941753,35.8258463678,0.1726,6.536662582857,9469689079.61,1399887362
2025年报,年报,2025-12-31,2026-04-01,8450660581.14,22.004211279141,1143868383.15,34.961627141379,1093317711.57,36.92086242694,19.05,31.6531069295,14.4444803991,1160052322.62,0.950353099189,44.7640289623,0.92,5.156853900576,6804488888.56,1399887362
2025三季报,三季报,2025-09-30,2025-10-30,6082168099.66,26.173013202367,821839262.84,25.453334602471,795917982.51,28.450326038339,13.97,32.0769718953,14.5228394698,624581072.51,0.707096785944,44.7312867239,0.659,4.900013029263,6465693915.9,1399887362
2025中报,中报,2025-06-30,2025-08-26,3945268729.71,27.456034284232,558073697.97,33.057509924858,537797585.73,36.947184239974,9.61,32.45368426,15.3218889233,346246410.02,0.572791255702,44.6691048211,0.4474,4.688011259314,6202215884.5,1399887362
2025一季报,一季报,2025-03-31,2025-04-26,1759107046.52,26.602170696038,250388280.27,35.861147670062,241257851.95,39.481773232669,4.44,32.5343629293,15.3648606288,124177560.2,0.459433045358,41.5847363876,0.2009,4.575565495177,6378255953.25,1399887362
2024年报,年报,2024-12-31,2025-04-26,6926531873.4,21.025046616396,847550824.17,20.995191199821,798503377.93,23.345778771107,16.29,31.729726932,13.2895378298,897543291.87,0.975056295351,40.3009221901,0.68,4.393054664444,6128326533.41,1399887362
2024三季报,三季报,2024-09-30,2024-10-29,4820498413.48,20.133585490011,655095590.28,36.448868117412,619630955.45,36.000376455959,12.76,32.8439761771,14.7130549687,548818875.02,0.773809821152,39.7001515774,0.52,4.236634994048,5913692355.51,1399887362
2024中报,中报,2024-06-30,2024-08-20,3095395798.14,22.16093511716,419422923.43,43.044899397397,392704376.3,42.432144018843,8.27,33.2325875682,14.5285992951,223921397.7,0.497915517991,40.9890419072,0.3329,4.039639566919,5671859494.21,1399887362
2024一季报,一季报,2024-03-31,2024-04-30,1389476212.65,21.619337739839,184297192.07,77.273365624841,172967296.27,78.844619869324,3.7,33.1603108916,14.2544924394,52470598.9,0.264919024437,38.7711436615,0.1463,4.023067223598,5644259249.87,1399887362
2023年报,年报,2023-12-31,2024-04-23,5723221818.17,7.159301188392,700483065.29,13.969499779909,647369845.88,14.886120185602,15,32.6318194236,13.2395217397,828072426.36,1.092837144851,39.3158917658,0.56,3.895191028054,5462501146.57,1399887362
2023三季报,三季报,2023-09-30,2023-10-27,4012615118.26,3.303260440237,480103352.5,7.925775445339,455609735.5,11.698048720422,10.44,32.3146355323,13.0378382728,589860416.17,1.127498981498,39.417607461,0.3811,3.814466226512,5291539818.2,1399887362
2023中报,中报,2023-06-30,2023-08-15,2533867144.33,-0.189600759391,293210680.84,0.595571699047,275713308.26,3.774196959512,6.44,31.9498885335,12.5348319335,262922659.93,0.827800456831,39.9338782943,0.2327,3.689135548303,5114986266.93,1399887362
