report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,10322863908.82,25.796090241943,1634739048.68,3.418201634519,1626678172.85,3.598595772873,4.25,40.7727895045,15.189160186,748055666.52,0.477089603756,50.009533175,2.2556,54.211649872044,45519714007.91,724832616
2025年报,年报,2025-12-31,2026-04-18,39353112419.78,30.850525003344,5521993004.86,-1.774593786742,5335952532.08,-4.224087609645,16.41,40.1037429257,13.7445475735,2133444577.85,0.394431717167,51.0832216197,7.6446,52.06324493821,43927549736.05,724832616
2025三季报,三季报,2025-09-30,2025-10-31,27301379656.81,32.969471808925,5130342602.7,14.829661345984,5102078327.94,19.473788354149,15.31,41.4069253389,18.2416995599,-2566434879.21,-0.515323984281,50.90318426,7.1093,49.756484021339,42171330822.17,724832616
2025中报,中报,2025-06-30,2025-08-29,16141546184.74,29.509657593869,3207978523.58,14.969155047605,3180943277.08,20.167520319154,9.81,42.1683743905,19.8320399589,-3191375954.04,-0.996931793769,52.4890161525,4.4496,46.830201125698,40072989706.54,724832616
2025一季报,一季报,2025-03-31,2025-04-26,8206029208.83,37.903283474955,1580707286.38,38.802470764546,1570173959.13,44.74863038359,4.95,43.0156502414,19.1031088146,-1728688646.61,-1.102756615296,49.9957743898,2.1935,61.154138312935,34123993795.81,724832616
2024年报,年报,2024-12-31,2025-04-26,30074860164.89,36.211948857943,5621756343.64,44.18198085881,5571288645.45,55.581338167819,20.63,42.9358520325,18.9996095387,1551813643.85,0.271575928707,50.968923469,7.8322,58.344764580008,32539927181.73,724832616
2024三季报,三季报,2024-09-30,2024-10-30,20532065958.75,40.742775279066,4467785189.44,54.904630515045,4270458314.1,61.755736625194,16.74,44.3588392306,21.8402679804,418663857.1,0.093363012538,52.8897884955,6.231,54.458021555167,29882222771.53,724832616
2024中报,中报,2024-06-30,2024-08-28,12463584943.88,47.907811041196,2790294946.72,55.08216467004,2647090718.55,64.50761884821,10.81,45.7314847106,22.6463679531,-313699468.26,-0.111140474157,53.5409559237,3.8952,50.908337203761,27885269249.53,724832616
2024一季报,一季报,2024-03-31,2024-04-30,5950568399.86,53.716456419668,1138817830.6,92.470641144418,1084759113.07,103.208585792738,4.56,43.9734591709,19.6625527702,235513330.03,0.201287654998,53.7143113985,2.1476,48.195142990571,26038727301.25,724832616
2023年报,年报,2023-12-31,2024-04-30,22079458092.37,50.321961991866,3899069987.91,65.725583755511,3580949174.92,70.030210657659,17.88,40.7774105634,18.264600323,2365007734.54,0.58645403965,53.7063164848,7.3623,45.957265846286,24824780518.52,724832616
2023三季报,三季报,2023-09-30,2023-10-31,14588362292.87,45.704384790922,2884216678.73,71.058068912835,2640066067.02,78.817631767649,13.62,39.8340988341,20.3899437328,1135978731.38,0.381898218753,56.2871055161,5.4478,42.581104158266,22962502409.94,724832616
2023中报,中报,2023-06-30,2023-08-30,8426590087.53,54.792031945646,1799236522.56,138.4279196866,1609099163.36,149.361028796828,8.71,42.3684669428,22.0508090035,-361310583.12,-0.194448361049,54.9693820061,3.4,40.530420324611,21835264330.48,724832616
