report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-23,6214156406,53.906140976542,1242081367,62.903309055073,1162681935,56.015734456112,7.81,35.6324179234,19.9776069975,511016585,0.411632209343,48.6431188539,0.6455,8.724895094497,16803981371,1924363537
2025年报,年报,2025-12-31,2026-03-25,18945220585,42.0017369822,3822306272,47.737015416548,3760567906,47.687450839386,28.57,35.4755614,20.1563929587,3871967792,1.013956335746,46.457351344,1.9875,7.853352213044,15128086679,1924363537
2025三季报,三季报,2025-09-30,2025-10-29,13512390231,49.95582243943,2717617995,47.02627146931,2676420260,48.170418241859,21.07,35.4028082021,20.0802472665,2895195011,1.067029892961,46.7808182543,1.4134,7.247627624842,14004421534,1924363537
2025中报,中报,2025-06-30,2025-08-22,8493871883,56.594868895016,1682780947,47.504936314983,1643812901,47.895239187227,13.37,35.1439479559,19.7591214009,2097416668,1.249716141842,47.6957697969,0.8754,6.621983001373,12795584599,1924363537
2025一季报,一季报,2025-03-31,2025-04-25,4037627327,56.252785026151,762465400,48.105599426382,745233767,50.073428535774,6.22,32.7549227527,18.8223425653,1421099718,1.869926984686,44.7843523734,0.3969,6.581725226613,12712286309,1924363537
2024年报,年报,2024-12-31,2025-03-26,13341541440,49.262473101387,2587236693,71.052648244903,2546301588,80.796364981258,24.25,34.5397357848,19.2355227208,2325184965,0.906040276459,43.8080155595,1.3516,6.171574422845,11901426159,1924363537
2024三季报,三季报,2024-09-30,2024-10-25,9010914022,48.145957363117,1848389385,93.938073849206,1806312145,105.796614076584,17.83,35.7313758642,20.3111683957,1860311828,1.01644057841,42.465717825,0.9662,5.717882355372,10993689736,1924363537
2024中报,中报,2024-06-30,2024-08-23,5424106130,44.125000076857,1140830259,131.590859581021,1111471140,150.223958509156,11.14,36.3169225636,20.7997080986,1193934948,1.058266981416,43.7560460973,0.5966,5.276239831224,10144510212,1924363537
2024一季报,一季报,2024-03-31,2024-04-23,2584035431,38.33816730354,514812001,157.029752637197,496579424,172.016457688549,5.12,33.4907977119,19.6637920635,892366793,1.756214924653,41.363926572,0.2694,5.409437879934,10398897306,1924363537
2023年报,年报,2023-12-31,2024-03-26,8938309250,7.225010953469,1512538227,11.087397747975,1408380964,11.363975979329,16.84,31.0059447988,16.6644325939,2243311100,1.50606459059,38.6533907749,0.7944,5.126699935865,9837223637,1924363537
2023三季报,三季报,2023-09-30,2023-10-26,6082456911,5.532391887866,953082264,3.414317556946,877717135,0.437688649125,11.05,30.5748107584,15.4183042761,1720408818,1.834492779646,38.2144712719,0.5009,4.790658973118,9185919999,1924363537
2023中报,中报,2023-06-30,2023-08-26,3763473462,0.742552262131,492605909,-7.73574382817,444190535,-12.181862726991,5.83,29.6243715083,12.9008854959,1080735245,2.225927097236,38.2331779009,0.2591,4.532712743919,8698334645,1924363537
