report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,2667648656.65,17.070342798499,515313666.34,-0.834256522516,496506491.99,-0.943783149593,4.2,34.0528157734,19.3106599145,116616098.57,0.226377240836,18.4067023972,0.646,15.6669719824,12542736249.59,1160000000
2025年报,年报,2025-12-31,2026-03-31,11078445744.05,25.700420130756,2393328872.7,18.986850284813,2266952993.97,20.159562808968,21.8,33.559657788,21.6172527372,1033723042.98,0.431643158835,18.4921306099,3.0005,15.0333385946,12036121278.81,1160000000
2025三季报,三季报,2025-09-30,2025-10-25,8076365203.24,26.884995918872,1788379331.57,26.210771853883,1722679490.34,27.830650788785,16.68,33.9893675056,22.1512258026,543927838.17,0.304037794427,17.044941916,2.2421,14.23431453485,11396212943.8,1160000000
2025中报,中报,2025-06-30,2025-08-27,5265115116.12,27.248841892774,1196828824.5,24.652607826741,1160984923.78,27.817980320611,11.4,34.484644625,22.7289686413,324244785.99,0.270947657532,15.0129463878,1.5004,13.896326128238,11125029021.88,1160000000
2025一季报,一季报,2025-03-31,2025-04-29,2278671602.8,29.055422423719,519648870.94,29.956318135402,501237083.12,33.676590783318,5.12,33.8085008543,22.7990148823,163281140.31,0.314295528644,14.434851382,0.6515,13.011698575938,10416826369.8,1160000000
2024年报,年报,2024-12-31,2025-03-18,8813372089.39,22.992009489976,2011422999.24,24.771278589485,1886618876.58,20.503557882321,21.44,34.2988238895,22.8486303751,1139332503.4,0.565780805122,15.3442613507,2.5302,12.348928612137,9886379767.57,1160000000
2024三季报,三季报,2024-09-30,2024-10-29,6365106563.43,20.053737002991,1416978365.08,21.234007329234,1347626316.31,18.331532322775,15.38,34.5432324969,22.290516151,586380375.22,0.413288787604,14.9674202644,1.7845,11.988218538513,9597814323.55,1160000000
2024中报,中报,2024-06-30,2024-08-17,4137652679.43,16.969242428688,960131396.66,23.93175453411,908311116.22,20.233376176381,10.57,34.8184769331,23.2434886353,342784190.17,0.356422767864,13.8848389164,1.2109,11.96639668355,9580049172.63,1160000000
2024一季报,一季报,2024-03-31,2024-04-30,1765653515.37,7.321839150893,399864260.85,28.695012360124,374962497.31,23.973529387981,4.54,35.0946562305,22.7048865726,127906106.84,0.319055665023,14.3025370827,0.5044,11.237049599738,8996270468.86,1160000000
2023年报,年报,2023-12-31,2024-03-16,7165808678.09,7.882575167069,1612088152,34.328612566081,1565612592.47,33.600987101411,20.22,34.2627756289,22.4907132825,1604903342.76,0.995819081684,13.0611675081,2.0305,10.766242460487,8618770992.46,1160000000
2023三季报,三季报,2023-09-30,2023-10-28,5301881242.79,10.185920205021,1168796112.82,34.42454699476,1138856473.72,34.01815083848,14.96,34.0225587686,22.0341549835,1135747802.86,0.972199760557,13.4242383225,1.4714,10.206298605988,8170506151.77,1160000000
2023中报,中报,2023-06-30,2023-08-30,3537385207.87,12.079518726983,774725896.74,37.10305260617,755456716.85,36.742981552757,10.02,32.982980922,21.89523805,589275004.06,0.760827134009,13.1704340195,0.9745,9.709999339238,7774087097.61,1160000000
