report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-29,1582645031.47,2.938452108336,230742880.99,29.483191346664,203847025.41,30.453509908392,10.97,31.8188521435,14.5813624054,336200060.04,1.456854446847,48.8722573028,0.85,7.957440001717,2196434222.18,272709679
2025年报,年报,2025-12-31,2026-04-08,5762229731.44,8.640677522029,748413603.64,16.94951547031,714923986.83,25.86418859784,36.82,30.796695664,12.888437265,908977875.88,1.223946632937,47.0689850172,2.78,7.820473226878,2160636986.36,272709679
2025三季报,三季报,2025-09-30,2025-10-28,4427028634,14.669345594325,604612030.76,22.630881788622,553768850.12,30.536458219961,30.11,30.3220825045,13.5779402135,619032320.97,1.029833705971,46.671892294,2.24,7.830415888348,2166515037.41,272709679
2025中报,中报,2025-06-30,2025-08-21,2940599310.76,19.584269908315,372714344.8,16.696099237477,334091464.91,22.498376249508,19.29,29.6621804055,12.5717348072,282783603.83,0.764932586559,45.9452116149,1.39,7.983595291532,2224478697.73,272709679
2025一季报,一季报,2025-03-31,2025-04-23,1537467291.43,25.687629905141,178202961.01,11.638887754003,156260284.26,13.412124295736,9.75,28.465574352,11.4627739128,67226552.8,0.381456685183,46.8137343675,0.66,7.061447312785,1973811022.98,272709679
2024年报,年报,2024-12-31,2025-04-23,5303933906.59,28.887188535222,639945878.04,26.528050379674,568012231.91,19.271609434873,40.86,30.6880556959,12.0750607615,1133957136.23,1.770554135602,50.8963912489,2.36,6.358964249263,1773426254.05,272709679
2024三季报,三季报,2024-09-30,2024-10-29,3860690589.15,28.492280665316,493034072.61,24.545566944275,424225429.18,12.898959681659,30.81,31.8359121253,12.8338895992,881628521.14,1.779353903381,49.4434020201,1.81,5.663211437093,1558040377.01,272709679
2024中报,中报,2024-06-30,2024-08-09,2459018492.16,29.835129225326,319388863.24,30.002892305394,272731341.54,17.96191712792,20.43,32.530236816,13.0289791684,610845931.18,1.906599615033,43.1686065735,1.18,5.785623725592,1594653503.83,272709679
2024一季报,一季报,2024-03-31,2024-04-24,1223244715.96,36.999746296093,159624450.4,43.100197876892,137780934.12,40.082165538952,10.38,32.1008261746,13.0637920242,214293047.26,1.340989799616,46.116751582,0.59,8.349593484684,1651938329.61,272709679
2023年报,年报,2023-12-31,2024-03-27,4115175423.46,42.220367497334,505773918.21,67.762947827637,476234230.93,72.837025515208,38.92,33.5387020466,12.4729733667,664033786.96,1.293694790143,49.0679612178,1.88,7.380371527134,1461734507.3,272709679
2023三季报,三季报,2023-09-30,2023-10-31,3004608968.85,52.537002934754,395866416.37,81.077227037211,375756721.21,95.030159003475,32.42,34.4544314882,13.4291544388,431370569.64,1.069089057177,49.4867549472,1.47,6.95132123523,1385451906.98,272709679
2023中报,中报,2023-06-30,2023-08-03,1893954669.15,56.535956053761,245678274.98,90.693978500949,231202873.08,103.471057143293,19.89,35.3438239047,13.362189354,244592341.12,0.96648618805,50.4708609759,0.91,6.327691316056,1263786349.67,272709679
