report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-27,221871720.94,-1.391231961609,30982974.04,-29.211172991278,30880984.38,-28.095713132053,1.28,37.7383000255,13.8683561608,-117591027.34,-3.821617756592,32.4869175864,0.1366,10.773232120944,2475911565.11,226800000
2025年报,年报,2025-12-31,2026-04-27,1266661537.66,5.275073838487,246320739.85,-2.838272275923,238651552.88,-9.435159423104,10.67,39.364123653,19.4046386546,263181863.76,1.070754269781,34.6228766732,1.0861,10.636622887963,2445141604.63,226800000
2025三季报,三季报,2025-09-30,2025-10-31,790899107.6,-7.399890228793,157860537.25,-13.595967536325,155455095.31,-12.666250648464,6.97,42.471042711,19.954241544,91120401.29,0.577376778705,30.5649414955,0.696,10.246586721296,2356692782.28,226800000
2025中报,中报,2025-06-30,2025-08-30,518095318.12,-0.919373227058,107646345.47,-2.016511471928,106303706.91,-1.362189561019,4.78,43.3240348715,20.7635728577,39591374.04,0.368034744688,30.9953639202,0.4746,10.025183759303,2306449962.83,226800000
2025一季报,一季报,2025-03-31,2025-04-23,225002020.97,-0.574646418023,43768169.85,-6.54188760669,42947348.1,-5.657244178199,1.96,41.1151132471,19.4325066199,21232808.69,0.485615123429,30.4715981551,0.193,9.943533954982,2287959997.79,226800000
2024年报,年报,2024-12-31,2025-04-23,1203192257.65,14.753389203734,253516220.45,15.945422059011,263514572.94,25.967217567692,11.99,41.8775488727,21.1069340669,177765211.48,0.699981547726,31.9401237303,1.1178,9.750552606437,2244236465.17,226800000
2024三季报,三季报,2024-09-30,2024-10-26,854101695.51,16.136104237197,182700428.15,20.800845924276,178001169.61,20.477620852816,8.74,41.7509430896,21.3705675073,100979444.84,0.553232059721,31.4833478815,0.8056,9.438313663316,2172805509.8,226800000
2024中报,中报,2024-06-30,2024-08-28,522902745.97,14.37902218492,109861719.65,8.746468911373,107771762.61,8.337932985963,5.43,41.8072245776,20.9842745474,76273713.83,0.695120362776,31.7826471384,0.4844,9.117155336596,2100006478.2,226800000
2024一季报,一季报,2024-03-31,2024-04-26,226302459.95,8.528977007741,46831857.32,2.395950515732,45522677.1,1.226127291361,2.3,43.2784932438,20.6775410441,-11719385.39,-0.250447482084,31.0170853199,0.2065,9.087787679189,2092432698.2,226800000
2023年报,年报,2023-12-31,2024-04-26,1048502589.77,56.977571524918,218651341.25,86.057716689469,209192977.37,95.850207809617,11.37,41.3202325466,20.7481257521,397938765.23,1.829228119983,28.8913251662,0.9641,8.881298008466,2045639252.6,226800000
2023三季报,三季报,2023-09-30,2023-10-26,735431674,78.748414227724,151241017.19,107.834540807707,147746252.25,119.464531156551,7.91,42.9025694833,20.5795336196,215850869.32,1.42618525901,25.9596532149,0.6668,8.58337142522,1973521956.42,226800000
2023中报,中报,2023-06-30,2023-08-25,457166651.7,97.184856376753,101025551.22,115.467603496026,99477403.38,131.807234649313,5.34,42.1550220742,22.0681003185,222999664.96,2.210368679174,25.9044564101,0.4454,8.561881028836,1968419738.01,226800000
