report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-28,1126074496.05,10.317709507098,246333622.73,13.613327867138,227551542.24,11.588241405129,6.99,78.1877902651,21.9738491412,268450155.61,1.084901723183,38.2246040014,0.435,6.434087903165,3685325432.26,567115486
2025年报,年报,2025-12-31,2026-04-28,3853391129.7,10.070746456627,759503032.53,5.114147886024,711549474.02,10.807263133775,23.9,80.0292230654,19.7864122843,553882713.79,0.726453238133,39.0309652366,1.34,5.996281115289,3435914185.5,567115486
2025三季报,三季报,2025-09-30,2025-10-30,3041361639.17,10.229559625328,650932609.77,13.427971573241,605225066.74,11.774622732264,20.4,81.018402808,21.4882871798,490387656.36,0.750359985941,42.9558121639,1.148,5.727651263732,3283285317.04,567115486
2025中报,中报,2025-06-30,2025-08-20,2099205515.81,10.136286222654,474385806.53,14.854257984111,442499140.75,12.283200379745,14.65,81.3276020886,22.6689810167,355587506.75,0.74723901002,44.3614190319,0.836,5.406999526583,3100308292.4,567115486
2025一季报,一季报,2025-03-31,2025-04-26,1020755870.55,12.288585640544,216817540.12,13.887534972994,203920717.25,12.378203966391,6.81,76.7672846572,21.2326762307,117615900.12,0.542674497633,38.2012032765,0.383,5.839238369714,3343868484.57,567115486
2024年报,年报,2024-12-31,2025-04-26,3500831286.92,5.718262020529,722550720.15,27.185159004653,642150571.99,20.202150521003,24.8,75.8182563781,20.6403746073,875864233.13,1.212126748379,38.600989976,1.287,5.417814119239,3080292064,567115486
2024三季报,三季报,2024-09-30,2024-10-30,2759116202.14,10.066112095756,573873093.86,23.100643511793,541469120.58,22.540646255345,20.44,75.0023165355,20.8004244096,350049452.25,0.609940139261,40.6089256542,1.024,5.102730749941,2901588102.94,567115486
2024中报,中报,2024-06-30,2024-08-13,1906007173.3,12.074393260044,413032842.54,30.302038346862,394092027.35,30.818166305998,13.89,76.0419727299,21.6743604739,290599216.93,0.70343442289,42.4905038873,0.732,4.766389569178,2710981264.13,567115486
2024一季报,一季报,2024-03-31,2024-04-26,909046867.7,15.26645355309,190378639.92,31.981567546377,181459313.33,31.554007573183,6.59,75.5972485026,20.9371641598,44906293.79,0.235940817811,40.9483562016,0.34,5.173443234275,2941689710.88,567115486
2023年报,年报,2023-12-31,2024-04-26,3311472606.54,10.313944161664,568109302.85,22.094066994728,534225526.92,30.612837868614,21.28,73.2932284285,17.1559836614,813428748.87,1.431801215543,41.3506831948,1.012,4.921220861051,2798696938,567115486
2023三季报,三季报,2023-09-30,2023-10-28,2506780833.45,10.090199454015,466182042.18,15.008620966942,441868993.78,20.193941430478,17.64,74.6270819266,18.5969967115,508689152.63,1.091172210459,41.3063034284,0.83,4.780298897551,2718737907.31,567115486
2023中报,中报,2023-06-30,2023-08-10,1700662495.56,13.175383742032,316981106.19,17.175708726363,301251759.2,26.076581448163,11.69,75.3181448191,18.6413980209,393172803.19,1.240186087624,41.3192258797,0.563,4.481876535802,2550190790.88,567115486
