report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-22,10413026492,5.075813469205,1711539612,-15.676921122115,1642761951,-17.321940518024,4.46,37.3790704844,16.4459384917,357002919,0.208466431444,46.6335270063,0.66,14.998234786697,39138221825,2609743532
2025年报,年报,2025-12-31,2026-03-18,45787435563,16.65096138882,9312304150,24.197570080739,9164684348,23.081987210712,25.56,37.2700118169,20.3479325266,12055090552,1.293909398983,46.4018008554,3.57,14.390864332258,37552160390,2609743532
2025三季报,三季报,2025-09-30,2025-10-17,33301907930,17.618429451664,7063854155,28.931052026023,6921634077,24.699783173879,19.35,37.3598138676,21.2230217165,9884629654,1.398569548783,49.7904316843,2.71,13.592903837878,35469012804,2609743532
2025中报,中报,2025-06-30,2025-08-20,21447391716,16.944968353884,4804711711,37.332185302669,4706682555,31.606962286715,13.18,37.0624617914,22.4162614907,5354475815,1.113728397609,45.7554875185,1.84,13.660620538325,35644910727,2609743532
2025一季报,一季报,2025-03-31,2025-04-18,9910012731,12.159221237339,2029740416,46.253291218076,1986938205,30.902322566404,5.53,35.4032635299,20.4958648302,2007595043,0.988406639436,42.8296710808,0.78,14.457182073782,37722142741,2609743532
2024年报,年报,2024-12-31,2025-03-19,39251657267,18.366940812839,7497976123,33.196572532389,7445999659,34.709054634154,22.72,36.2297564387,19.1177618793,8562187329,1.141010600803,43.5838584149,2.87,13.677346377268,35685569178,2609743532
2024三季报,三季报,2024-09-30,2024-10-18,28313511824,18.835209974526,5478784237,32.788979864079,5550638422,36.645815893522,17,36.3733956954,19.3653870035,6284478745,1.146170803592,45.5670517864,2.1,12.796826617061,33385813084,2609743532
2024中报,中报,2024-06-30,2024-08-07,18339730232,22.010606828394,3498605735,23.353537905268,3576317296,28.04964913497,10.9,35.8448474642,19.0942666043,3325262229,0.949576534614,47.397542446,1.34,12.119196429529,31616366433,2609743532
2024一季报,一季报,2024-03-31,2024-04-26,8835664711,25.28542459362,1387825463,51.756412655849,1517878496,72.887579140015,4.32,36.8190805266,15.7127416376,1300199825,0.936523989458,44.9476061805,0.53,12.591677606273,32846689583,2609743532
2023年报,年报,2023-12-31,2024-03-16,33160996641,18.015896523716,5629256054,18.371211459591,5527467830,18.470138537039,18.97,35.3929968633,16.9750877332,7624580890,1.354491780976,44.5327630218,2.16,12.041865897419,31411322327,2609743532
2023三季报,三季报,2023-09-30,2023-10-17,23825860896,16.564482738964,4125932922,5.770679292338,4062062483,6.478719921846,14.05,34.9417577033,17.3234627576,5449425317,1.320284109923,46.8038198309,1.58,11.527890202661,30071656580,2609743532
2023中报,中报,2023-06-30,2023-08-18,15031258928,16.487984244729,2836242717,19.074854983762,2792914561,20.889540126052,9.67,34.139573981,18.8710975613,3124847388,1.101631374457,48.0465858447,1.09,11.033845849187,28781117127,2609743532
