report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,14923228703.48,-9.680149759211,5382557651,-19.029852534585,5378987443.17,-19.181161156946,12.57,75.0468361157,36.2153152332,8253609929.89,1.527175244221,29.2568595378,4.41,36.905248315159,45547310509.76,1219964222
2025年报,年报,2025-12-31,2026-04-23,38718257657.74,7.517885961356,12246329337.25,0.028138904109,12253039162.88,0.060606739709,33.48,74.8525045655,31.7557037595,9013519822.15,0.733089283111,28.7429091315,10.0383,32.487132818851,40134469996.6,1219964222
2025三季报,三季报,2025-09-30,2025-10-31,32924416755.68,4.996610038303,11404509070.8,0.480489784098,11411294175.75,0.52548716528,31.82,76.0997007306,34.7770032526,8982107362.78,0.784454927917,27.9976236672,9.35,31.787692702286,39277907630.62,1219964222
2025中报,中报,2025-06-30,2025-08-29,23963969151.59,5.353565082657,8505077281.27,1.131821479755,8516198151.26,1.272461101311,23.77,76.6500023993,35.5670964978,5980102739.72,0.701619224492,35.8000764403,6.9716,29.401548214297,36338859574.49,1219964222
2025一季报,一季报,2025-03-31,2025-04-30,16522645535.5,7.722868055618,6647582867.87,6.150296379609,6655610894.9,6.308970252691,17.26,78.7981457048,40.2815874244,7026539469.24,1.05573599075,30.7469628814,5.45,31.470658464163,38852234084.12,1219964222
2024年报,年报,2024-12-31,2025-04-30,36010992321.46,12.78641788441,12242884323.77,17.29019095144,12245617493.36,17.24154249986,39.68,76.2026081759,34.0259843893,12172323337.21,0.993408090691,34.1913217472,10.0354,28.487581676014,35204482659.15,1219964222
2024三季报,三季报,2024-09-30,2024-10-31,31357599777.43,17.248932073034,11349973607.12,20.344897694947,11351642750.05,20.406315733019,33.87,76.0312224475,36.2309346105,11434809004.05,1.00648328063,31.0136622246,9.3,27.756150887989,34312512734.7,1219964222
2024中报,中报,2024-06-30,2024-08-28,22746234674.44,19.646797319984,8409892313.64,24.273768264844,8409194423.29,24.406546231547,26.99,76.6888348774,37.0356784024,7930094411.97,0.941344388622,39.6325619122,6.8936,25.347183864069,31376329052.32,1219964222
2024一季报,一季报,2024-03-31,2024-04-26,15338104001.25,20.939370581234,6262425159.98,29.952320216171,6260629633.68,30.075906482073,20.22,77.4608930935,40.8555923802,7041142515.11,1.123621251485,31.5108845002,5.13,27.949326828693,34539406418.97,1219964222
2023年报,年报,2023-12-31,2024-04-26,31928483054.02,21.800002667027,10438114410.47,28.931315100141,10444776853.2,29.150071619119,43.06,75.3062261108,32.7561278575,7225083460.39,0.690831330148,35.8781437632,8.5627,22.817806793493,28275069845.67,1219964222
2023三季报,三季报,2023-09-30,2023-10-27,26744465150.35,20.775186605981,9431204666.35,32.679397402732,9427780163.31,32.748214265062,38.88,75.9357403157,35.3427581322,7303562659.27,0.772681303606,35.550462506,7.73,21.928702479654,27191108154.68,1219964222
2023中报,中报,2023-06-30,2023-08-25,19011152144.43,23.982543454932,6767230471.13,35.004041376369,6759446892.48,35.014871246751,28.15,76.299217805,35.7273226045,5207689862.05,0.766718960856,37.7166492146,5.5556,19.73825210997,24523543232.58,1219964222
