report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,5107689410.12,28.243820932754,484287357.82,17.802472375098,449843502.64,18.218285491719,3.77,32.0864305465,12.5040867134,-860692650.35,-1.347632999424,29.7630369495,0.3129,8.459610063985,16556801450.48,1547594313
2025年报,年报,2025-12-31,2026-04-02,17202480686.91,21.98179556517,1757527714.75,7.756590464908,1642604139.69,8.441296761985,17.23,34.3196864744,13.5970139582,2968662719.38,1.269188815483,31.4740671658,1.2,8.161383631112,16010465166.2,1547594313
2025三季报,三季报,2025-09-30,2025-10-31,12914117640.41,18.816058281739,1469778583.07,15.780486709666,1410465601.8,17.565195309622,14.69,34.6311527493,15.0751184841,1572957157.18,0.807962903846,36.535760943,1.0069,6.919936352954,13895186254.03,1547594313
2025中报,中报,2025-06-30,2025-07-30,8347059889.93,15.431324083229,964160111.44,14.185029863382,926696819.51,17.849649754251,9.73,34.2357457164,15.3210692273,835302087,0.653162077945,37.3972138805,0.6605,6.580329868498,13243516643.13,1547594313
2025一季报,一季报,2025-03-31,2025-04-29,3982795719.1,15.349306653973,411101183.24,15.471057363318,380519393.23,14.219082304773,4.23,33.7653002972,13.6757292845,-502221565.91,-0.922055007948,38.4942227218,0.2816,9.178486797714,13010022262.79,1547594313
2024年报,年报,2024-12-31,2025-03-29,14102498333.63,9.069919396394,1631016448.43,17.08940477814,1514740406.78,13.88819364653,18.28,36.2077512251,15.3390395775,2234580503.26,1.033003469428,39.3045907491,1.12,8.786678740831,12542394828.65,1547594313
2024三季报,三季报,2024-09-30,2024-10-31,10869000223.68,9.973653423911,1269452759.13,15.067630441457,1199730581.9,11.136539453798,14.48,35.0593458458,15.4234685512,1205381511.64,0.71903971059,40.6980262401,0.8696,8.441583034636,12212866226.54,1547594313
2024中报,中报,2024-06-30,2024-08-09,7231191321.96,8.893332177334,844383990.26,15.332003316791,786338204.18,4.201799906703,9.72,34.7120065278,15.3075181371,980771502.18,0.886039744914,38.7440752438,0.5784,8.03432971095,11633309954.16,1547594313
2024一季报,一季报,2024-03-31,2024-04-25,3452812881.7,5.794242443916,356020974.11,7.756035031827,333148704.71,15.992008468479,4.18,34.8072043232,13.6627075545,-242388192.36,-0.513808925364,36.2331249247,0.3414,8.012811509507,11502568117.87,1547594313
2023年报,年报,2023-12-31,2024-03-30,12929777899.97,11.024046971387,1392966726.17,11.416664474803,1330024086.15,10.842033155386,17.44,36.8040406311,14.8371598547,2660744870.89,1.386951878041,37.6106872629,1.34,7.671069200056,11057686958.97,1547594313
2023三季报,三季报,2023-09-30,2023-10-31,9883276480.58,10.316581056728,1103223169.07,13.930659231385,1079510472.25,10.30284801791,13.58,36.3581903824,15.0257867926,1665300362.75,1.121384140714,37.2500250059,1.0581,7.536760088957,10994088702.28,1547594313
2023中报,中报,2023-06-30,2023-07-27,6640619014.38,13.140798011648,732133289.96,17.945580965779,754630155.03,28.290634500346,9.38,35.7496621989,14.8485335273,1079343358.52,1.094630374385,38.1828732152,0.7022,7.195764662866,10528817084.6,1547594313
