report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-25,3554318743.96,47.653432195641,988242794.57,104.428931609505,984169395.89,101.569842187884,7.13,59.2700694497,32.5089294345,496810882.92,0.429963966909,29.3577062422,0.52,7.518920490937,17566312058.88,1900411178
2025年报,年报,2025-12-31,2026-03-21,12638506229.12,40.026099318803,3082367791.68,74.703764660644,3058272484.42,79.871544496225,27.14,52.4595028819,27.2768625105,5555589287.5,1.611535846814,33.9065858486,1.69,7.059098069686,16510644337.07,1900411178
2025三季报,三季报,2025-09-30,2025-10-25,8644170929,38.910592982067,2057982539.97,86.214833027565,2025964256.93,95.13795576607,19.23,49.8932264721,26.7312859107,3035640395.2,1.313733051762,33.853821254,1.14,6.588479241049,15525319765.36,1900411178
2025中报,中报,2025-06-30,2025-08-23,5272037612.96,25.640268783594,1106901651.88,55.791999661705,1111908647.25,73.983683521989,11.23,48.1016752251,24.3156611208,1612731602.56,1.25804887627,37.1906129498,0.63,6.107333524766,14551642077.69,1900411178
2025一季报,一季报,2025-03-31,2025-04-26,2407203605.84,29.84944016684,483416308.44,141.096681284859,488252302.63,138.584956588802,5.93,46.4186989816,23.4597945525,338008396.3,0.598536250557,38.6248101302,0.29,5.827565518017,13794543214.66,1900411178
2024年报,年报,2024-12-31,2025-03-29,9025821822.22,24.994909284418,1764339650.99,119.463345065614,1700253641,96.279203799396,25.13,43.8414520223,22.0031441812,3268480659.7,1.645789999314,47.2510061079,1.07,4.757952340398,10723115416.08,1900411178
2024三季报,三季报,2024-09-30,2024-10-31,6222830630.43,22.925144263777,1105165741.37,112.585206050506,1038221523.32,84.354648861453,16.66,41.9625544854,20.1517967516,2003177782.49,1.597414931925,50.7423251066,0.67,4.276961419853,9799896404.98,1900411178
2024中报,中报,2024-06-30,2024-08-31,4196136846.89,24.451463857645,710499675.39,127.751065233313,639087887.29,71.804207638782,10.96,39.5030095558,18.8346936386,1434993255.17,1.81568980947,51.6821739196,0.43,4.091407371902,9452742226.81,1900411178
2024一季报,一季报,2024-03-31,2024-04-30,1853842113.41,16.832415005343,200507242.93,166.413840760283,204645049.55,55.802215273968,3.21,33.4570556459,12.8062075207,387683907.25,1.632993646187,52.5246867763,0.12,3.819524933575,8950536545.39,1900411178
2023年报,年报,2023-12-31,2024-03-30,7220951536.26,15.225732741992,803933636.6,78.210195940408,866242377.23,115.973647913333,14.61,32.5765441177,12.0627729957,2203080341.36,2.529232477375,54.3631652564,0.49,3.697306360189,8542208144.71,1900411178
2023三季报,三季报,2023-09-30,2023-10-28,5062292721.07,13.098115056615,519869544.03,31.237858675983,563165360.75,33.485126410989,10.4,30.6725560007,10.9680382501,1198318340.11,2.158221406096,57.1661323345,0.32,3.393428710919,8027839414.96,1900411178
2023中报,中报,2023-06-30,2023-08-19,3371705496.12,10.680659253063,311963272.12,-24.077121473522,371986167.32,-9.385269637823,8.32,31.7597516127,10.4930160365,872561816.44,2.466301878727,56.8938494962,0.19,3.384670801314,8031298773.51,1900411178
