report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,2158066014.06,18.052040382479,270665536.47,12.07907470487,263907214.93,12.996566799711,5.38,31.4514906902,12.5488498973,14115916.45,0.052124323232,59.8234586514,0.33,6.205654578078,5171824698.32,833105500
2025年报,年报,2025-12-31,2026-03-24,8193310113.95,17.873503192498,828970422.18,15.844708746511,800184956.03,14.641943229782,17.75,30.2236396077,10.1173243419,1224656463.11,1.477369785886,61.4629871516,1,5.874889252332,4896176437.38,833105500
2025三季报,三季报,2025-09-30,2025-10-30,6131570784.23,20.385665856822,703980236.25,15.56950201646,679805509.95,14.49101284497,15.03,30.7650323081,11.4715851987,427799213.85,0.608197738556,60.0960035859,0.86,5.675715976553,4730142942.25,833105500
2025中报,中报,2025-06-30,2025-08-30,4020225138.8,15.616561529658,476162821.63,12.410957716329,460375022.72,12.680786276634,10.07,30.5156559119,11.8385501809,-472300.42,-0.000992360427,58.7145329606,0.58,5.384117456029,4491232723.71,833105500
2025一季报,一季报,2025-03-31,2025-04-29,1828063290.62,18.335082962972,241495156.15,33.382099147484,233553303.79,30.371252152506,5.14,31.8396975579,13.2050161977,186518515.27,0.772665967257,57.6163409961,0.29,5.794907190738,4834631557.45,833105500
2024年报,年报,2024-12-31,2025-03-31,6950934596.87,20.863717277899,715587644.14,14.091270769012,697986211.23,11.975432794098,16.62,32.334733414,10.2983957773,1254177184.94,1.75204846672,58.5434178567,0.87,5.489629805828,4579185174.13,833105500
2024三季报,三季报,2024-09-30,2024-10-31,5093273140.61,20.221196690002,609140148.54,16.822110605264,593763207.31,14.559367878155,14.18,33.6994560744,11.9790504861,573740733.56,0.940364708916,56.9713729807,0.75,5.297190324802,4419670114.08,833105500
2024中报,中报,2024-06-30,2024-08-31,3477205242.58,21.179243264635,423591108.29,19.238881372768,408565681.81,15.139428424268,9.85,33.4638754843,12.2153392954,60590079.49,0.14264799179,54.6031956549,0.52,5.056240825966,4212779344.13,833105500
2024一季报,一季报,2024-03-31,2024-04-30,1544819376.34,31.20613938477,181055147.35,27.54778341007,179144788.39,23.468749140488,4.18,33.9590599267,11.7793015298,85370313.66,0.46914774143,54.3829194372,0.22,5.326254552593,4437377419.14,833105500
2023年报,年报,2023-12-31,2024-03-20,5751051476.34,13.243232355396,627206305.37,15.462046194493,623338703.69,17.765787978853,15.47,34.4410688619,10.918004473,1232668571.28,1.963160469081,55.4512092777,0.75,5.083298264971,4234263020.73,833105500
2023三季报,三季报,2023-09-30,2023-10-31,4236584962.42,17.70531410998,521425392.32,18.901359279303,518301748.96,21.823564565233,12.93,36.2946565215,12.3294349174,381143982.45,0.729675853242,51.5494932754,0.64,5.013972121999,4081132536.08,833105500
2023中报,中报,2023-06-30,2023-08-31,2869472649.69,20.048325478643,355245791.82,16.914806773161,354844285.23,21.271046657619,8.75,36.103980988,12.4024997962,44499687.94,0.125039044766,50.9521134605,0.44,4.805444535732,3911282696.07,833105500
