report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-20,838153113.68,15.582997897018,237894289.96,41.315165266919,233098476.77,35.39887379187,8.37,47.5991540684,30.3342936333,118396008.5,0.465671664074,32.9627640785,0.21,2.655214262716,3293479791.42,1116654773
2025年报,年报,2025-12-31,2026-03-25,3001735645,18.69799928676,710116301.56,21.542406681894,726284007.39,23.904937838412,28.56,43.3736376319,25.2766193966,382560547.47,0.504206858361,38.5326741649,0.64,2.437396039805,3060930864.33,1116654773
2025三季报,三季报,2025-09-30,2025-10-24,2227854242.69,16.43396645417,600773012.02,22.071574504826,615844451.49,25.446686184134,24.31,44.0552337026,28.4659983327,216398868.75,0.341225746707,40.3839956302,0.54,2.335016542414,2930475858.11,1116654773
2025中报,中报,2025-06-30,2025-08-15,1483064764.24,13.312705433755,398766761.96,24.050363135477,399489512.69,24.22566132271,16.23,43.4034903964,28.5407573355,186281490.83,0.440092629483,37.9327008268,0.36,2.149609310218,2724212265.73,1116654773
2025一季报,一季报,2025-03-31,2025-04-22,725152599.37,12.836363037273,168343071.68,13.457319394423,172156880.07,20.034353463069,6.81,40.444034317,24.6430821382,6798119.62,0.038042090072,37.3890842524,0.15,2.304079360025,2872536245.91,1116654773
2024年报,年报,2024-12-31,2025-03-21,2528884785.79,24.421203309385,584253941.44,44.083707591998,586162278.97,47.760319968834,25.89,41.8607112478,24.6740391285,227388890.46,0.364418108656,38.4298962214,0.53,2.151417897448,2716774957.8,1116654773
2024三季报,三季报,2024-09-30,2024-10-24,1913405778.86,35.62933454486,492148163.45,68.930809637007,490921259.24,74.318210517092,21.81,42.2586165064,27.1840803841,122583004.05,0.23567229609,39.6156868323,0.44,2.093658157153,2611443195.93,1116654773
2024中报,中报,2024-06-30,2024-08-27,1308824777.03,40.018135417941,321455537.8,76.833825182923,321583727.9,80.984653188705,14.2,42.081902074,26.4046351135,99427050.51,0.287701998079,42.8262582155,0.29,1.937999817329,2439814828.89,1116654773
2024一季报,一季报,2024-03-31,2024-04-25,642658607.43,50.695639444261,148375682.22,103.690485591852,143423007.75,101.476558208144,6.65,42.3781933847,25.4336789549,30747308.01,0.188112469511,41.8347480577,0.13,2.081089883208,2588732504.37,1116654773
2023年报,年报,2023-12-31,2024-04-25,2032519151.5,27.221373742988,405496187.74,-6.825711819572,396698030.36,15.607344855037,19.01,38.8523117476,21.5389136465,332052664.72,0.758487675207,38.2671435798,0.37,1.945851543037,2429562094.38,1116654773
2023三季报,三季报,2023-09-30,2023-10-27,1410761016.62,24.02168182525,291331205.07,-11.992567090259,281623622.56,12.717798364649,13.86,39.2105434388,21.8875697473,128978641.31,0.417702240038,34.1689350815,0.26,1.99269723199,2463322168.32,1116654773
2023中报,中报,2023-06-30,2023-08-23,934753753.95,25.281671614594,181783964.39,-17.853801671675,177685633.69,10.700342069142,8.66,39.2088378786,20.4906045213,137497679.62,0.717865992423,34.3726832143,0.16,1.835384191828,2166764437.33,1116654773
