report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-29,200750271.09,12.156865020625,66129069.02,-1.029067815208,62181248.17,0.146191742046,4.33,52.6809521929,33.4156437527,52243026.83,0.778793572,12.0897886266,0.49,11.396989836482,1610996490.11,136455896
2025年报,年报,2025-12-31,2026-04-29,804145932.68,18.20771183778,266854073.17,26.109497105759,249011784.86,31.630294207872,18.73,53.9739559937,34.279277009,372131119.91,1.349986628062,12.7515832029,1.99,10.988632180411,1553805401.46,136455896
2025三季报,三季报,2025-09-30,2025-10-28,593207048.8,19.445812048511,209270378.92,29.414487282251,197232720.79,33.879483117372,14.69,54.3632440077,36.3426536226,234485057.15,1.087657688533,13.3155154926,1.55,10.658747856131,1505379203.26,136455896
2025中报,中报,2025-06-30,2025-08-29,390025378.73,18.847882527358,141844727.94,27.418550354088,133215414.74,31.681033677913,9.97,53.9102831243,37.3396961767,138718477.95,0.952512465216,13.8496957459,1.03,10.332546130655,1457650010.61,136455896
2025一季报,一季报,2025-03-31,2025-04-29,178990622.69,26.153048562731,66816657.74,37.59189545817,62090477.02,43.907947197547,4.81,53.6614371449,38.0533558275,81749118.66,1.200217177786,12.8772743231,0.5,10.472296011286,1473624087.6,136455896
2024年报,年报,2024-12-31,2025-04-29,680282123.88,16.625736615767,211605056.95,14.763971950458,189175133.55,14.086368866723,16.36,51.9007170593,32.2470200523,241129448.5,1.099187057891,13.876233411,1.58,9.90862894935,1395378165.45,136455896
2024三季报,三季报,2024-09-30,2024-10-28,496632773.16,17.566771611466,161705527.19,19.917627122964,147321095.21,15.216489944064,12.39,52.4509680931,33.8465974266,196801029.22,1.170784526107,12.7849771763,1.21,9.768584653934,1377235965.45,136455896
2024中报,中报,2024-06-30,2024-08-29,328171920.64,20.369415994,111321881.74,18.760794318398,101165225.56,13.74527043183,8.59,52.5146993484,34.9263774873,136858797.25,1.194036922997,14.1526255763,0.83,9.466091073315,1320131031.06,136455896
2024一季报,一季报,2024-03-31,2024-04-27,141883707.71,7.598075805671,48561477.78,1.223083824614,43145968.12,-1.062332104301,3.81,51.5118106086,34.8577091678,58022023.65,1.173171490927,12.7692613448,0.36,9.46816378874,1318010321.62,136455896
2023年报,年报,2023-12-31,2024-04-27,583303603.15,10.724716596847,184382827.95,18.375820642316,165817472.7,18.538620160852,15.78,53.3375997371,31.8964794192,312026748.39,1.677082456284,14.2520747854,1.38,9.273940733116,1289946525.52,136455896
2023三季报,三季报,2023-09-30,2023-10-27,422426138.23,19.344632388008,134847170.57,20.111912374277,127864592.37,25.693135842429,11.68,54.8438294469,32.2797060479,217059814.15,1.591838750626,12.9934806637,1,8.826361078926,1229363495.01,136455896
2023中报,中报,2023-06-30,2023-08-29,272637295.72,35.362135276629,93736221.94,43.014518847454,88940160.04,54.869589719542,8.14,56.816106865,34.4968816506,147575940.45,1.569099396627,10.2672009594,0.69,8.693253209124,1212080328.79,136455896
