report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-29,164371444.48,-11.401678242379,8023687.75,-77.943021080436,6534348.74,-80.074161646678,0.7,39.2086780182,4.9397643524,12872845.5,1.58541131508,40.511276652,0.016,2.287314071134,1174034641.95,502387966
2025年报,年报,2025-12-31,2026-04-03,880887186.19,7.748939982886,120115587.58,-27.026594447945,116419957.5,-26.101703683842,12.23,35.4009412237,14.1031063555,207620329.66,1.671224534298,40.8231530806,0.25,2.271227461408,1165875572.67,502387966
2025三季报,三季报,2025-09-30,2025-10-24,549460284.5,-5.62529379194,75878861.94,-36.072347231932,71778648.18,-36.42337459656,7.92,38.2148754447,14.4029434379,137297094.24,1.734897351638,42.3810621403,0.16,2.178874197277,1118645309.32,502387966
2025中报,中报,2025-06-30,2025-08-19,400737179.5,1.09790047139,65052655.31,-25.771015830184,61042410.37,-25.333970755932,7.16,36.898356782,16.5933747358,53498566.57,0.804540270973,39.7341579838,0.14,2.141488744577,1098164311.3,502387966
2025一季报,一季报,2025-03-31,2025-04-24,185524331.86,1.433933963542,36377093.07,-31.780040928169,32793344.12,-34.856360091211,4.57,37.8233934905,19.6036931735,-19206900.44,-0.528102851448,41.3513195136,0.0831,1.862491353931,828390485.6,502387966
2024年报,年报,2024-12-31,2025-04-03,817536753.8,15.375599877002,164601866.49,3.368000761771,157540786.87,7.151519678295,22.39,41.9665718043,20.5341335664,117503011.78,0.699947278904,42.9931548621,0.38,1.776542396995,790373944.56,502387966
2024三季报,三季报,2024-09-30,2024-10-29,582211385.42,14.813924874496,118694897.52,1.658274814728,112901003.67,3.400979558704,16.26,43.3276324488,20.8463003849,97481535.42,0.803179611739,45.0801901103,0.27,1.667738337478,742134125.09,502387966
2024中报,中报,2024-06-30,2024-08-19,396385263.82,10.86107772433,87637808.92,-4.862713843739,81753926.1,-4.145488067045,11.69,47.5917532307,22.6809178181,56797551.78,0.631759077103,47.1831465714,0.2,1.57846622528,702675528.66,502387966
2024一季报,一季报,2024-03-31,2024-04-30,182901643.08,17.226063856168,53323240.83,40.974752219591,50340054.94,57.808820647004,7.07,55.0828696415,29.3462888447,3568896.74,0.066491049477,45.4685027717,0.1218,1.785282719655,791325455.97,502387966
2023年报,年报,2023-12-31,2024-04-03,708587218.33,8.938742247087,159238705.67,11.575930606745,147026180.63,10.606169398212,24.01,42.133290505,22.5472187865,168006334.37,1.051572846051,48.5750908199,0.36,1.660210124371,736204933.1,502387966
2023三季报,三季报,2023-09-30,2023-10-27,507091266.2,8.323543404905,116758717.12,14.680527845119,109187557.17,28.536347630381,17.74,44.4595586332,23.4412991118,124311318.45,1.045786100842,48.9199692799,0.27,1.550237599071,689628990.64,502387966
2023中报,中报,2023-06-30,2023-08-18,357551335.38,15.949190511602,92117205,40.078913681937,85289596.13,61.705961266712,13.72,44.4541560252,26.2110723263,62976164.94,0.671974846373,50.5724592553,0.21,1.460773762468,650131346.3,502387966
