report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-29,156361569.29,21.373207429652,8096442.08,84.232324828763,7973154.24,81.314289956902,0.54,23.7396783868,5.0095800941,10322898.37,1.317863126267,15.924919476,0.03,5.529884177928,1527552407.9,272355860
2025年报,年报,2025-12-31,2026-03-27,787783942.81,5.981100967498,129347677.86,-10.332747718577,128372878.08,-15.632919659494,10.33,37.4696486954,15.8681971054,173143435.95,1.385068718077,18.0447478156,0.48,5.494727718948,1510630724.31,272355860
2025三季报,三季报,2025-09-30,2025-10-29,636249664.15,6.988624137617,149377689.27,1.046845856908,149721071.8,-3.728888704281,11.92,43.2653822109,23.0827304933,216303944.5,1.47282006533,22.7687463861,0.55,4.839341899576,1302443410.33,272355860
2025中报,中报,2025-06-30,2025-08-28,235476588.15,-7.44323329002,-2051330.71,-109.752934449919,-2226231.33,-108.217492894524,-0.18,19.0393625083,-1.1291457978,8169577.43,,18.8135896052,-0.01,4.27027821101,1148147547.24,272355860
2025一季报,一季报,2025-03-31,2025-04-25,128827088.45,0.730423000489,4394691.37,-58.934533461109,4397421.87,-62.126469969086,0.38,22.8562571617,3.4176533546,281198.65,0.063867222351,17.4441436469,0.02,4.370094067537,1170381156.93,272355860
2024年报,年报,2024-12-31,2025-04-25,743324928.33,19.808218239763,144252973.71,4.484133525741,152159915.41,10.252032126466,13.13,41.6658816012,19.4064490793,205475201.06,1.424408771448,19.6756424241,0.54,4.357557061574,1162029741.61,272355860
2024三季报,三季报,2024-09-30,2024-10-29,594689079.59,19.550444649492,147830135.62,-2.516561493192,155520248.79,3.629755372758,13.4,45.7194330115,24.8582776132,228008400.98,1.542374553562,15.456901059,0.55,4.378095831515,1167506142.11,272355860
2024中报,中报,2024-06-30,2024-08-08,254413152.62,51.734753036038,21032959.06,71.69698458488,27091369.09,138.308213602167,2.02,29.4249800881,8.2672451654,10009461.65,0.475894125094,14.0456171254,0.08,3.904948715191,1041332673.88,272355860
2024一季报,一季报,2024-03-31,2024-04-26,127892929.08,83.730323822955,10701671.6,358.725103399655,11610805.4,361.367481193022,1.02,28.2184892,8.3676804316,-10452328.61,-0.976700556762,13.2795135949,0.04,3.940939788053,1050930413.28,272355860
2023年报,年报,2023-12-31,2024-03-22,620428998.32,218.733216202269,138062085.45,340.586556545084,138010984.9,330.420865323465,14.19,42.9753194519,22.2526809391,250549186.39,1.814757364945,15.6496133544,0.52,3.896740098736,1039143682.13,272355860
2023三季报,三季报,2023-09-30,2023-10-20,497437781.46,209.37262403067,151646410.8,693.262300134614,150072967.2,639.805227585781,15.45,50.4402199333,30.485503203,257879375.13,1.700530686942,16.1739409099,0.57,3.961775889376,1056486776.42,272355860
2023中报,中报,2023-06-30,2023-08-25,167669665.34,507.782207097274,12250045.69,117.09144733375,11368206.19,115.716508578539,1.34,25.2166985807,7.3060596055,36860096.62,3.008976256316,15.5190823389,0.05,3.441430077624,917726158.8,272355860
