report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,376118986.97,41.261522191011,71792393.09,20.62541008122,67582324.25,29.462425057811,3.46,35.978133428,19.6089459626,88611981.45,1.201470025676,34.4556283791,0.2,5.79823772634,2206174101.66,472859968
2025年报,年报,2025-12-31,2026-04-01,1375754147.23,21.237071082136,278380063.24,20.903700979792,254749900.53,18.801566691821,14.41,34.8572539451,20.4974448827,279096128.72,0.98972206953,34.3563632417,0.77,5.599012696411,2131746985.12,472859968
2025三季报,三季报,2025-09-30,2025-10-31,959829734.67,18.650402049976,203259676.49,22.04260015526,187927423.21,21.144718192263,10.69,36.8038621226,21.2902821478,172908859.86,0.846138839141,34.7724797413,0.56,5.385235721403,2051463685.96,472859968
2025中报,中报,2025-06-30,2025-08-30,572484049.7,14.955539318421,123409269.76,22.231306200624,111557924.62,19.365180658857,6.56,35.6822036224,21.6024426261,106283080.88,0.859405014907,29.048081858,0.34,5.172395343487,1973009232.67,472859968
2025一季报,一季报,2025-03-31,2025-04-30,266257209.42,23.609980279739,59516807.48,27.081473980697,52202269.67,23.600212672528,3.2,35.6906943466,22.3531252392,49794996.01,0.836654352247,15.9882590585,0.16,5.190723886385,1888085066.49,472859968
2024年报,年报,2024-12-31,2025-04-30,1134763595.78,41.80025029708,230249414.19,34.020000028187,214433115.34,37.512338863728,13.22,34.5460393361,20.290518223,209563020.57,0.910156585228,17.2666580792,0.63,5.033496045454,1830894673.59,472859968
2024三季报,三季报,2024-09-30,2024-10-30,808956158.67,38.848382517743,166548136.66,41.530914749149,155126386.04,46.337236447272,9.71,35.0115118643,20.5880300032,159635726.85,0.958496024341,16.8706016384,0.46,4.857940510854,1767037725.99,472859968
2024中报,中报,2024-06-30,2024-08-20,498004753.05,42.725815547106,100963716.74,45.334957986877,93459352.22,54.121562945664,5.94,33.6636897386,20.2736452055,65258112.72,0.646352123586,17.4264438718,0.28,4.676784649676,1701143703.56,472859968
2024一季报,一季报,2024-03-31,2024-04-25,215401061.32,40.377161694466,46833582.91,51.089538710484,42234773.34,62.408954132251,2.84,36.8969045245,21.7425033205,13210581.01,0.282074959658,13.8870760019,0.13,6.063037805429,1697650585.52,472859968
2023年报,年报,2023-12-31,2024-04-25,800255001.95,19.892799455223,171802278.87,28.428959850379,155937363.23,29.323548407446,16.86,37.0707917285,21.4684417406,221128390.68,1.287109764401,15.0100402514,0.53,5.93372143375,1661442001.45,472859968
2023三季报,三季报,2023-09-30,2023-10-27,582618352.48,23.316296238437,117676153.62,24.18746806275,106006092.37,,14.59,36.7766157722,20.1978109888,127582170.55,1.084180325625,14.9906712304,0.38,5.73836526725,1606742274.83,472859968
2023中报,中报,2023-06-30,2023-08-22,348924089.97,24.479376642233,69469670.71,26.566800749788,60640023.65,34.362335377828,12.25,36.0878910111,19.9096802734,53941650.44,0.776477704424,42.4672517788,0.24,2.869061642714,602502944.97,472859968
