report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-25,775960710.27,16.002948110301,65577542.24,12.576978168387,63669036.71,10.631108302383,4.33,33.4900729947,8.8572059307,43674272.81,0.635461448698,24.8883815888,0.16,3.869452267168,1756914266.83,400010000
2025年报,年报,2025-12-31,2026-04-25,2933728038.28,10.65625634456,262600695.96,12.590151119541,252935141.76,17.882338611716,18.36,33.2750514496,9.8109277392,269912195.41,0.937761889631,26.1524418063,0.66,3.705512510062,1688185828.78,400010000
2025三季报,三季报,2025-09-30,2025-10-30,2132813002.89,10.499299520477,191857923.51,10.591560498134,181175337.86,14.272272478394,13.5,33.2781075204,10.0270566815,216131187.98,1.010627684498,28.4351857634,0.48,3.52866000025,1614218259.59,400010000
2025中报,中报,2025-06-30,2025-08-28,1380193149.89,8.385163640272,116661592.57,7.525495730936,111194040.04,12.140898678978,8.23,33.6750220922,9.6274956046,128116637.97,0.964167163702,23.5550598853,0.29,3.480673872553,1589239325.72,400010000
2025一季报,一季报,2025-03-31,2025-04-26,668914646.49,7.183550713243,58251290.19,-4.186336066176,57550753.75,9.892723109057,4.15,32.6077655818,10.0581973161,46928491.04,0.697502443694,22.7503932817,0.15,3.584651767156,1623644545.9,400010000
2024年报,年报,2024-12-31,2025-04-26,2651208467.73,11.912522155901,233235938.8,-22.522106792875,214565765.1,-2.092151690685,17.07,32.8113726558,10.0844650726,320210126.22,1.197673161096,27.2945617349,0.58,3.439027182295,1556363790.88,400010000
2024三季报,三季报,2024-09-30,2024-10-30,1930159749.56,9.718655319857,173483331.5,-28.012021409013,158547068.27,-12.440742567264,12.64,31.8007823332,10.1533918467,289972914.52,1.479629671315,30.3427633998,0.43,3.289649397565,1484980281.22,400010000
2024中报,中报,2024-06-30,2024-08-30,1273415201.43,12.88697112206,108496679.58,-34.602910806196,99155652.71,-10.86618159123,7.85,32.068331348,9.6831196276,176677459.36,1.432833801336,25.8040759708,0.27,3.277186829329,1472011415.89,400010000
2024一季报,一季报,2024-03-31,2024-04-26,624083305.73,15.720847331672,60796433.2,-20.35507433532,52369940.54,-7.041772161928,4.4,32.0398534016,10.750809556,77236982.08,1.151175563396,20.5870803825,0.15,3.532939195495,1565802856.62,400010000
2023年报,年报,2023-12-31,2024-04-26,2369000730.8,16.31086766578,301035468.5,39.780266291771,219150730.82,12.662886693679,24.59,33.1387376151,13.1378869573,166476870.38,0.534888409776,21.1294677695,0.75,3.380951912177,1498708848.95,400010000
2023三季报,三季报,2023-09-30,2023-10-31,1759190124.9,19.243477743713,240989308.07,57.024392312375,181074021.09,28.14363335469,20.02,33.8976187718,13.9215361429,142811117.99,0.583125564224,24.9664271687,0.6,3.172344905002,1289378499.98,400010000
2023中报,中报,2023-06-30,2023-08-31,1128044440.18,23.858240589859,165904447.61,78.846007702524,111243582.38,36.966238518411,13.89,34.7699772934,14.9822325203,108889745.9,0.644294230092,23.6527088064,0.41,2.984637446539,1213478451.88,400010000
