report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-23,267092271.24,11.27378436444,52635434.58,19.091771173816,48324023.5,25.138235842453,2.34,59.0965219724,19.70683552,1629551.05,0.030959201971,6.5056315553,0.13,5.619508693142,2273615645.21,404593314
2025年报,年报,2025-12-31,2026-04-23,1544791099,17.191557254992,314501633.08,4.77738590747,295443254.52,2.148377081429,14.54,58.3092134757,20.3588454959,275258637.82,0.87522164869,4.9957374341,0.78,5.48941402089,2220980210.63,404593314
2025三季报,三季报,2025-09-30,2025-10-21,1237521845.97,19.277570757875,266047503.56,1.979192934561,251228377.22,-1.789800994393,12.25,58.2738997747,21.4984086484,220109889.62,0.82733303893,5.8120464797,0.66,5.369653936273,2172526081.11,404593314
2025中报,中报,2025-06-30,2025-08-19,895107556.64,20.305898596611,187524723.49,4.164764053225,176959658.34,0.860245068945,8.69,58.0102632268,20.9499654091,133395849.22,0.711350731452,6.9823461917,0.46,5.375575642409,2174921963.82,404593314
2025一季报,一季报,2025-03-31,2025-04-25,240031623.59,44.00464441312,44197373.22,24.597051514399,38616513.31,22.849463711558,2.1,57.6724434346,18.4131459676,-14999804.39,-0.33938225956,7.6867243546,0.11,5.251325225236,2124651075.77,404593314
2024年报,年报,2024-12-31,2025-04-25,1318176100.04,27.612200216151,300161748.03,32.799019767406,289229513.93,32.281082802241,14.91,58.1713057145,22.7709900082,257240496.51,0.85700625812,6.2578941361,0.74,5.142086214875,2080453702.55,404593314
2024三季报,三季报,2024-09-30,2024-10-23,1037514293.85,25.984529598631,260884103.81,44.347029522003,255806810.05,44.450104049254,12.91,58.3347197564,25.1451093596,179625103.8,0.688524525553,7.9930302084,0.64,5.044848412992,2041111938.04,404593314
2024中报,中报,2024-06-30,2024-08-16,744026325.46,28.469049449813,180027022.76,50.689758260285,175450355.31,48.052064481842,9,58.6359948702,24.1963243234,140862793.07,0.782453605633,9.0081485131,0.44,5.024525177003,2032889292.64,404593314
2024一季报,一季报,2024-03-31,2024-04-25,166683251.48,10.021405471972,35472246.48,67.928441620783,31434010.49,45.356225243347,1.83,55.6949498019,21.2812302166,-28319378.91,-0.798353127309,5.2396613006,0.09,4.83684411473,1956954789.68,404593314
2023年报,年报,2023-12-31,2024-04-25,1032954606.07,20.659688294567,226027081.04,41.227258911469,218647676.45,41.642157046399,22.64,56.3460151821,21.8816083216,252520758.3,1.117214614895,4.8350049237,0.64,4.748616314307,1921258411.52,404593314
2023三季报,三季报,2023-09-30,2023-10-27,823525155.95,20.900739667658,180733960.84,37.465154979329,177090083.62,39.444304684363,22.21,56.1149909679,21.9463800874,190109983.91,1.051877483492,8.2896742525,0.53,2.631247170651,904894621.94,404593314
2023中报,中报,2023-06-30,2023-09-19,579148307.43,31.93009104026,119468651.91,52.098309037969,118505848.55,57.762109874223,15.26,55.5488970515,20.6283348112,127939805.89,1.070906918632,13.201688653,0.35,2.452448542936,843405181.33,404593314
