report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-24,234988042.09,0.166946570475,69556976.06,1.308414255759,67620462.88,1.103894115256,4.12,54.6533569358,29.600219416,56125893.02,0.806905305538,12.9413855869,0.6285,15.55590020618,1721727034.82,110680000
2025年报,年报,2025-12-31,2026-03-26,878564762.01,14.929681563799,212825139.17,14.416914422729,205128716.19,16.418634763691,13.55,49.8827176402,24.2241833924,312374063.35,1.467749837112,15.3711267967,1.92,14.926318125678,1652044890.15,110680000
2025三季报,三季报,2025-09-30,2025-10-30,668005851.6,17.398616630215,180705632.01,17.653298699341,175564674.13,20.155702605822,11.56,51.8830679162,27.0515043509,217577778.61,1.204045364773,15.5219797247,1.6327,14.633345803307,1619618713.51,110680000
2025中报,中报,2025-06-30,2025-08-21,482968437.31,22.256808862789,141690004.16,23.963808478025,138141356.32,26.63277550354,9.08,54.6007695697,29.3373216994,146689821.28,1.035287013714,15.3417176335,1.2802,14.28679969064,1581262989.76,110680000
2025一季报,一季报,2025-03-31,2025-04-23,234596391.46,30.133794973427,68658636.67,31.829312197446,66882154.71,36.437531642,4.43,54.5962180291,29.2667062109,26869028.39,0.391342294184,14.2440531158,0.6203,14.303849312161,1583150041.87,110680000
2024年报,年报,2024-12-31,2025-03-19,764436784.35,5.638157632182,186008458.84,6.498420252004,176199211.24,5.941490802163,12.68,50.2127357001,24.3327457087,262367690.85,1.410514836186,18.42990464,1.68,13.685822678623,1514746854.07,110680000
2024三季报,三季报,2024-09-30,2024-10-29,569006578.42,1.309231677903,153591640.87,1.183400783155,146114308.62,0.462207347881,10.48,51.7763337777,26.9929464254,162444685.21,1.05764014428,20.0537660676,1.3877,13.396190011565,1482690310.48,110680000
2024中报,中报,2024-06-30,2024-07-30,395044203.92,3.915376984413,114299492.65,2.648035796038,109088153.34,2.033890799519,7.75,54.1737010634,28.9333425262,76394302.13,0.668369564543,17.2440648084,1.0327,13.048672201662,1444227039.28,110680000
2024一季报,一季报,2024-03-31,2024-04-19,180273226.88,-6.126923660982,52081464.68,-15.799845964483,49020349.39,-17.941373287837,3.61,54.6807121257,28.8902936844,-17054658.83,-0.327461198236,16.012743017,0.4706,13.28093602846,1469933999.63,110680000
2023年报,年报,2023-12-31,2024-04-19,723636990.16,117.939638741703,174658420.66,1374.93712656696,166317473.83,802.36196620327,13.12,49.6237631192,24.1361930132,320030496.08,1.83232216844,21.7158177929,1.58,12.812880818034,1418129648.94,110680000
2023三季报,三季报,2023-09-30,2023-10-25,561653236.33,118.440235771993,151795294.17,15250.0042618313,145442064.71,2251.93733953404,11.5,51.0375632077,27.0265146448,246987023.81,1.627105933425,18.7348399758,1.3715,12.607206065595,1395365567.34,110680000
2023中报,中报,2023-06-30,2023-07-28,380159525.36,218.425152744737,111350881.45,438.216285903579,106913646.52,387.484893958507,8.57,53.6084193437,29.2905672545,165475215.54,1.486070100076,17.4628994666,1.0061,12.24195840459,1354939956.22,110680000
