report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-28,2457378084.73,29.477212969632,452900563.43,5.661576505119,437511506.13,1.560979499363,3.9,33.8098598341,18.4367428409,-185773391.79,-0.410041044774,32.0942793454,0.89,23.390742447585,11846769584.48,506347879
2025年报,年报,2025-12-31,2026-04-17,8575480546.36,9.957368031075,1899204197.29,16.601067513465,1824607095.03,11.35918384811,17.78,34.2569168817,22.1464818148,1312489814.95,0.69108701303,34.2549754478,3.75,22.527128463256,11409364539.78,506347879
2025三季报,三季报,2025-09-30,2025-10-30,6674782115.88,8.819933919444,1594541717.17,9.18214750071,1555592579.4,4.955767944966,15.04,35.8782695936,23.8925972611,221179687.22,0.138689883495,34.7941778617,3.15,21.948964280346,11116915043.75,506347879
2025中报,中报,2025-06-30,2025-08-28,4336118273.46,12.350529977997,1052121901.75,27.626311333075,1050031663.03,21.724492968548,10.04,35.746291831,24.2652863611,-133528099.61,-0.126907160647,36.2543938081,2.08,20.886837511449,10578944979.34,506347879
2025一季报,一季报,2025-03-31,2025-04-29,1897923216.27,30.723890052686,428633168.66,41.831209812013,430787009.23,14.21157680998,4.18,40.5612689818,22.5827787049,-471622271.04,-1.100368851438,33.9050470598,0.85,20.653345399675,10460645787.48,506347879
2024年报,年报,2024-12-31,2025-04-18,7798913979.04,23.557646470464,1628805154.01,-12.764956925761,1638488207.24,-9.361263437713,17.21,35.042487561,20.8880157872,1916547999.11,1.176490387771,34.6209611084,3.22,19.818974717755,10038197465.91,506347879
2024三季报,三季报,2024-09-30,2024-10-30,6133786224.15,29.347864850089,1460441797.19,12.906126225421,1482141105.59,19.423070248395,15.71,36.1549913415,23.831627767,1467247384.77,1.003739468109,35.5183561367,2.88,19.461635066669,9857863945.67,506347879
2024中报,中报,2024-06-30,2024-08-28,3859455112.77,24.56070411875,824376957.04,-0.875378781674,862629728.35,5.897069713041,9.03,35.3041827799,21.3717003403,877290081.43,1.06359955969,38.4926855903,1.63,18.222774905531,9229787184.28,506347879
2024一季报,一季报,2024-03-31,2024-04-25,1451856439.94,11.530180761009,302213574.31,-5.399118462234,377183312.99,22.368338679667,3.33,39.5319854065,20.8156651027,117600536.48,0.38913055692,36.6651749319,0.6,18.118876927279,9174454901.99,506347879
2023年报,年报,2023-12-31,2024-04-25,6311963849.93,15.918951694864,1867145468.85,48.511460797518,1807712981.65,46.600069043757,23.36,36.7888758396,29.5810545377,2227397039.34,1.192942422805,36.8969954173,3.69,17.705680743357,8965233890.65,506347879
2023三季报,三季报,2023-09-30,2023-10-28,4742085407.64,13.768979328266,1293500933.93,47.580707329469,1241084408.99,47.373682351936,17.02,36.0642695856,27.2770484447,1544052434.01,1.19370028541,41.5013684487,2.55,16.012234690964,8107761073.82,506347879
2023中报,中报,2023-06-30,2023-08-18,3098453192.02,5.228612073992,831657106.89,44.87225798627,814592632.91,46.450721478911,11.2,32.7294281431,26.8410414923,849620256.68,1.02159922598,41.903336618,1.64,15.040937242773,7615946671.05,506347879
