report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,1813061001.57,16.528312032697,345185396.9,31.402092192361,343770813.96,40.120731542606,7.27,39.1646320276,19.0464780314,294475041.09,0.852749344976,52.2248444751,0.45,6.450901924615,5030724687.49,775282899
2025年报,年报,2025-12-31,2026-04-18,7767736146.73,24.527916624508,1600904035.19,38.537113821576,1577255072.19,38.319168856789,34.45,39.2793475522,20.8643852933,2192839227.53,1.353027839209,55.5992930452,2.1,5.98093353225,4667682091.86,775282899
2025三季报,三季报,2025-09-30,2025-10-25,5603131509.95,25.762880145615,1113778853.42,34.540691320055,1088561358.43,33.33349807411,25.54,36.9285520534,20.0992538046,1673188877.61,1.485710589565,58.0506945473,1.44,5.385164690551,4282719518.88,775282899
2025中报,中报,2025-06-30,2025-08-22,3404288234.56,19.955309172374,636597878.46,30.443013953793,615262158.49,27.371131768372,13.66,35.7634867345,18.9215397316,912756049.31,1.417006759847,52.4759242034,0.83,5.359450511667,4220653206.51,775282899
2025一季报,一季报,2025-03-31,2025-04-30,1555897420.93,14.43534619208,262693988.46,33.516436319242,245339008.85,26.748660835421,5.89,35.3776024213,17.0542497282,325436576.41,1.226458290989,46.0311258454,0.34,5.986139337177,4697416502.24,775282899
2024年报,年报,2024-12-31,2025-04-23,6237746809.94,12.504105372901,1155577730.06,60.097316121298,1140301149.31,53.228194920011,28.66,38.096899147,18.6861113948,1111577973.92,0.953659317497,49.307686803,1.52,5.624058525428,4415986753.3,775282899
2024三季报,三季报,2024-09-30,2024-10-26,4455314241.74,5.089083534323,827837914.68,40.687105969189,816420010.09,29.660512847865,21.17,36.4278083224,18.7418540411,615834264.17,0.737518564037,50.0753098695,1.09,5.172082431664,4024057259.71,775282899
2024中报,中报,2024-06-30,2024-08-24,2837963786.72,17.142582331933,488027575.54,45.037797611259,483046786.15,37.40713437507,12.83,35.2753167399,17.4100024374,70814256.22,0.143322711744,52.1957799058,0.64,5.086175396988,3954981873.73,775282899
2024一季报,一季报,2024-03-31,2024-04-26,1359630107.92,24.542951492516,196750299.59,100.453354120976,193563393.28,91.560536117396,5.11,33.1986061982,14.6653271414,-103015204.72,-0.516640920579,48.6220671557,0.26,5.201388923122,4040590722.46,775282899
2023年报,年报,2023-12-31,2024-04-13,5544461501.44,36.589432000051,721797065.72,54.853430106625,744184939.27,67.847047903777,20.65,31.0880437116,13.2413229175,637004797.59,0.867664750133,51.4674850255,0.96,4.919602702164,3823679792.42,775282899
2023三季报,三季报,2023-09-30,2023-10-26,4239559516.46,43.537336115489,588424865.93,69.717075015275,629659710.7,85.234857754872,16.98,30.938865889,14.0153963959,462665838.72,0.778648251007,52.2429310293,0.79,4.797099683538,3669462393.01,775282899
2023中报,中报,2023-06-30,2023-08-22,2422657696.48,29.760302943278,336483029.65,78.038333284374,351544181.71,86.299274239004,9.8,29.7020433595,14.0757130694,172540664.28,0.505974936534,55.0080824699,0.45,4.464570524509,3419134546.71,775282899
