report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-28,3413771953.49,21.447309239282,601471668.1,42.554628330045,597750144.92,46.148676303118,5.28,36.0703410282,17.5957072275,754308856.89,1.255763841661,47.8092800551,0.96,18.352173354435,11684480808.31,623788908
2025年报,年报,2025-12-31,2026-04-28,13893968306.98,39.744522111271,2338703276.64,47.661725602942,2320629693.17,47.785244050339,23.29,33.8176988735,16.2814353035,4377465066.62,1.935101266881,49.832909974,3.75,17.559012515566,11151170003.31,623788908
2025三季报,三季报,2025-09-30,2025-10-28,9933053426.59,42.499074335741,1753037676.9,60.368096827044,1740114584.71,59.845415857714,17.92,34.7525034073,17.4143153169,2613525162.94,1.510906225167,45.8923697256,2.81,16.732971413978,10617672588.54,623788908
2025中报,中报,2025-06-30,2025-08-26,6316025397.7,47.820949590001,1110910265.44,81.291836614005,1087680753.47,78.51431962611,11.65,34.3700024707,17.430992607,1725885887.16,1.567639114332,45.8839894755,1.78,15.664234996993,9964844148.13,623788908
2025一季报,一季报,2025-03-31,2025-04-25,2810907853.68,42.490811170196,421923633.87,54.104927310755,409001408.73,51.557290074965,4.58,33.7644799294,15.1478925687,493761013.26,1.159626069926,47.3020386466,0.68,14.946744761329,9518291713.14,623788908
2024年报,年报,2024-12-31,2025-04-25,9942406397.81,34.371106592216,1583824966.89,53.586405074363,1570271584.34,52.740299061996,19.44,31.510818834,15.7988128322,2053184661.9,1.307109725909,46.6546975494,2.57,14.215649282353,9058377330.92,623788908
2024三季报,三季报,2024-09-30,2024-10-29,6970609088.44,31.234688487357,1093133679.07,53.957857398414,1088623389.9,54.807482856018,13.92,32.5238910724,15.7402571508,1362464708.81,1.24177442303,47.2196716028,1.78,13.3069681334,8509875895.97,623788908
2024中报,中报,2024-06-30,2024-08-27,4272753906.14,30.309562124317,612774566.24,52.290125225005,609296080.98,53.840238187633,8.05,30.5484018418,14.4462770035,486052469.62,0.787443379802,49.0647429353,1,12.733586540442,8091446412.55,623788908
2024一季报,一季报,2024-03-31,2024-04-26,1972694120.13,33.674969807052,273789839.97,48.067001583817,269865876.15,46.028794019368,3.74,29.239034296,13.7734106802,69067207.44,0.254197133972,44.0729945285,0.45,12.156275669023,7700940346.59,623788908
2023年报,年报,2023-12-31,2024-04-26,7399214496.3,38.177555497936,1031227318.67,68.73889100003,1028066328.26,67.448403906471,15.44,30.3399434897,13.9436525821,1084971497.35,1.051613514122,46.5758857906,1.71,11.688247956124,7279182614.79,623788908
2023三季报,三季报,2023-09-30,2023-10-18,5311559899.89,37.075989956437,710021363.99,60.69753450084,703211091.49,59.501310701636,10.83,29.6575887863,13.3286292256,548860328.41,0.775272306245,48.3588667299,1.18,11.26094998692,7012276303.29,623788908
2023中报,中报,2023-06-30,2023-08-15,3278925841.27,32.295310700022,402373144.9,36.373948880636,396057681.76,34.401842127982,6.26,26.822812035,12.2181844773,269894333.43,0.673682853532,47.3888336086,0.67,10.872477885261,6785681933.22,623788908
