report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,4459437239.86,73.767551922257,1187894272.36,68.365789089582,1147046203.37,87.249564769746,10.87,41.4467670557,26.6187318456,1830652555.84,1.542192223342,47.1348512748,1.31,12.716140853859,11580809544.1,909359054
2025年报,年报,2025-12-31,2026-04-10,12223743462.54,9.077578468918,3170769705.42,7.108036754944,3035007811.1,8.198336841357,32.66,38.1273030877,25.9221406986,3986268984.68,1.258031484362,48.1115024195,3.51,11.347035062197,10329325539.77,909359054
2025三季报,三季报,2025-09-30,2025-10-30,8846410281.97,10.358501053435,2346935082.52,4.792444389075,2278828599.53,9.375385973294,24.33,38.5466661047,26.5140782278,2662052664.46,1.134940339094,56.508218233,2.6,10.281216387847,9332124019.3,909359054
2025中报,中报,2025-06-30,2025-08-26,5535465365.91,16.580427136351,1522164569.91,23.183984071751,1461555273.96,25.743223289487,15.21,37.4785588819,27.4872660331,1515942460.28,0.996315837106,49.4768628545,1.68,10.37244198301,9381148638.08,909359054
2025一季报,一季报,2025-03-31,2025-04-30,2566323338.58,36.236098904695,705543732.36,62.977686756275,612576165.28,44.241718340721,7.16,37.2052268,27.4908793442,476602669.67,0.675548393353,39.7271880776,0.78,15.906243655422,10274878115.55,909359054
2024年报,年报,2024-12-31,2025-04-30,11206467574.84,49.824980328745,2960347142.46,65.291396498455,2805041093.7,51.338815381339,39.24,38.7632106671,26.4164164371,3366659088.55,1.137251452798,37.4457252425,3.36,14.650973713205,9454716341.6,909359054
2024三季报,三季报,2024-09-30,2024-10-30,8016066000.83,26.718076054955,2239603338.01,42.807475351429,2083493081.42,22.041386643831,32.74,39.9696432562,27.9389333593,2683105526.11,1.198027115147,38.5232128685,2.6,14.546928146276,9379129987.57,909359054
2024中报,中报,2024-06-30,2024-08-27,4748194445.57,-2.971728108794,1235683828.04,-2.209866348732,1162333234.13,-16.18775346916,21.45,36.8570673775,26.0242886471,1322494282.73,1.070252966592,42.7766028186,1.46,12.150151649518,7753136974.87,909359054
2024一季报,一季报,2024-03-31,2024-04-25,1883732255.41,-9.641079270291,432908176.82,-26.478192481295,424687234.96,-19.043708399349,7.9,36.316603474,22.981407022,130457282.09,0.301350930926,49.8200911395,0.72,13.308011784301,5723520900.23,909359054
2023年报,年报,2023-12-31,2024-04-25,7479705687.43,25.59282357801,1790986830.03,18.03128861671,1853484241.06,20.72485797378,38.6,39.8319091519,23.9446163375,2080970199.92,1.161912619919,51.6386440002,2.98,12.163837838556,5231433595.23,909359054
2023三季报,三季报,2023-09-30,2023-10-28,6325905703.74,55.294865025552,1568267580.18,69.128678233168,1707202071.95,72.136746748619,34.1,40.4868699813,24.7911943938,2135189827.93,1.361495866467,49.9938330239,2.6,11.988120430615,5155860904.82,909359054
2023中报,中报,2023-06-30,2023-08-31,4893619512.15,106.21393229374,1263607873.21,180.49922080165,1386829827.67,215.670513398837,27.62,41.7550147699,25.8215390484,1745812650.58,1.381609506868,54.5330079481,2.1,11.142850798468,4792326631.4,909359054
