report_date_name,report_type,report_date,notice_date,revenue,revenue_yoy_pct,parent_net_profit,parent_net_profit_yoy_pct,deducted_net_profit,deducted_net_profit_yoy_pct,roe_pct,gross_margin_pct,net_margin_pct,operating_cash_flow,cashflow_to_net_profit,debt_ratio_pct,eps_basic,book_value_per_share,total_equity,total_shares
2026一季报,一季报,2026-03-31,2026-04-30,5888248861.37,21.455482099133,1257422750.29,28.307196151083,1199921196.77,25.149201632527,8.42,46.889690821,21.3457555936,452489461.34,0.36000686256,44.4817482982,2.3563,36.238562236416,20469050068.88,578195410
2025年报,年报,2025-12-31,2026-03-31,20875273117.52,31.79789383635,4415263147.79,32.721658060085,4184165425.82,28.260151373638,51.61,44.9050336342,21.144722327,6174239867.75,1.398779778067,64.7322671602,8.4907,18.116774733439,9423797386.09,578195410
2025三季报,三季报,2025-09-30,2025-10-25,16843967895.35,34.126376226865,3760923286.24,38.913120828176,3539852768.72,32.915715932216,43.35,45.1688023108,22.3214194096,3132633683.92,0.833188756443,63.2415012388,7.2324,16.919863071673,8801214820.64,578195410
2025中报,中报,2025-06-30,2025-07-26,10736627858.45,36.367780019452,2374750785.44,37.221914420612,2270463283.77,33.015860858184,28.18,45.1465179624,22.1160181307,1740460562.79,0.732975316018,61.8635336019,4.5667,16.798779949021,8739124368.24,578195410
2025一季报,一季报,2025-03-31,2025-04-16,4848071704.63,39.225678798014,980009530.26,47.618386198706,958792530.13,53.547810020225,11.99,44.4688144427,20.2133019655,631493112.47,0.644410071893,61.8113681895,1.8846,16.649880737905,8661876907.31,578195410
2024年报,年报,2024-12-31,2025-03-08,15838851828.27,40.629862458102,3326708852.44,63.092127027421,3262248937.81,74.481179242721,46.93,44.8093769837,21.0017054314,5789408508.54,1.740427497589,66.0809687573,6.3974,14.783867591291,7691579970,578195410
2024三季报,三季报,2024-09-30,2024-10-30,12558281502.26,45.335133197008,2707392407.44,63.529295137398,2663231164.12,77.297432058049,37.45,45.0500742935,21.5586217505,3035419105.81,1.121159643304,64.7261319156,5.2064,17.556724941626,7022865543.9,578195410
2024中报,中报,2024-06-30,2024-08-31,7873287852.1,44.194527376313,1730591498.79,56.17361925877,1706911693.93,72.335006369922,24.63,44.6007302553,21.9805439773,2267292619.33,1.31012582745,62.1131910438,3.328,17.661751531262,7064877230.02,578195410
2024一季报,一季报,2024-03-31,2024-04-23,3482167762.79,39.797471926278,663880398.3,33.509922288254,624426053.36,37.758038868214,9.97,42.770704532,19.0651468718,859544401.77,1.294727791287,55.8166724812,1.2767,17.469965346541,6988160838.27,578195410
2023年报,年报,2023-12-31,2024-04-15,11262794083.29,32.419494463635,2039772803.92,41.599699752586,1869685287.53,38.290479761878,35.82,43.0722633061,18.1107173658,3281269652.65,1.608644671771,57.0106295634,3.9225,15.80899939594,6323757848.37,578195410
2023三季报,三季报,2023-09-30,2023-10-28,8640912369.92,30.049067418151,1655600854.37,42.04995794512,1502126191.68,41.148511055272,29.75,42.5175432481,19.1600236583,2013446797.61,1.216142642289,59.1529453465,3.1838,14.939419095898,5975917032.55,578195410
2023中报,中报,2023-06-30,2023-08-07,5460184928.9,27.23925185483,1108120249.12,46.842900056603,990461386.74,38.593612508019,20.09,43.1042926631,20.2945552861,1297953090.44,1.171310687149,59.7976917363,2.7702,13.586336902277,5434670624.28,578195410
