code,name,industry,rating,score,portfolio_weight,suggested_range,price,pe_ttm,pb,market_cap,roe_2025,avg_roe_3y,rev_yoy_2025,np_yoy_2025,rev_yoy_q1,np_yoy_q1,cfo_np_2025,debt_2025,return_60d,return_120d,drawdown_120d_high,last_trade_date
600988,赤峰黄金,有色金属,A-：可纳入候选,80.3,4.5,3%-5%,25.93,12.47,3.6,49277661845.54,27.14,22.293333333333333,40.026099318803,74.703764660644,47.653432195641,104.428931609505,1.611535846814,33.9065858486,-34.321175278622086,-18.020866266202972,-49.33567799921844,2026-06-26
605117,德业股份,电力设备,B+：可小仓配置/等待回调,75.5,3.5,1.5%-3%,96.49,25.85,12.34,122841677207.23999,32.66,36.833333333333336,9.077578468918,7.108036754944,73.767551922257,68.365789089582,1.258031484362,48.1115024195,5.511208310552207,58.80513495720869,-23.963750985027588,2026-06-26
603699,纽威股份,机械设备,B+：可小仓配置/等待回调,74.3,3.5,1.5%-3%,49.55,27.82,9.14,38415267645.45,34.45,27.92,24.527916624508,38.537113821576,16.528312032697,31.402092192361,1.353027839209,55.5992930452,-0.9594243453927676,-2.441425477456194,-26.23194878666072,2026-06-26
001221,悍高集团,轻工制造,B+：可小仓配置/等待回调,73.9,2.5,1.5%-3%,39.37,30.63,5.47,15748393699.999998,30.6,32.733333333333334,25.829141680523,32.394816731524,12.538318645046,11.190945122548,1.478076018189,31.4101455747,-40.42070217917676,-33.64233945727288,-49.4673341034527,2026-06-26
603025,大豪科技,机械设备,B+：可小仓配置/等待回调,73.4,2.5,1.5%-3%,13.39,15.71,6.07,14952007410.470001,28.56,24.486666666666668,18.69799928676,21.542406681894,15.582997897018,41.315165266919,0.504206858361,38.5326741649,-1.6164584864070464,-21.420187793427225,-30.97938144329896,2026-06-26
600285,羚锐制药,医药生物,B+：可小仓配置/等待回调,73.1,2.5,1.5%-3%,19.37,11.15,3.63,10985026963.82,23.9,23.326666666666668,10.070746456627,5.114147886024,10.317709507098,13.613327867138,0.726453238133,39.0309652366,-8.545797922568454,-2.7610441767068283,-11.268896014658713,2026-06-26
603979,金诚信,有色金属,B+：可小仓配置/等待回调,72.9,2.5,1.5%-3%,59.92,15.54,3.26,37377431367.36,23.29,19.39,39.744522111271,47.661725602942,21.447309239282,42.554628330045,1.935101266881,49.832909974,4.846894138232716,-18.895506226312932,-33.25164308789127,2026-06-26
605499,东鹏饮料,食品饮料,B+：可小仓配置/等待回调,72.1,2.5,1.5%-3%,110.9,16.19,4.27,81422703479.0,51.61,44.78666666666667,31.79789383635,32.721658060085,21.455482099133,28.307196151083,1.398779778067,64.7322671602,-35.20303827052294,-46.68269230769231,-48.32727611592582,2026-06-26
600885,宏发股份,电力设备,B+：可小仓配置/等待回调,71.7,2.5,1.5%-3%,32.89,26.28,4.05,50900376954.57,17.23,17.650000000000002,21.98179556517,7.756590464908,28.243820932754,17.802472375098,1.269188815483,31.4740671658,18.096947935368046,9.269102990033229,-10.43028322440087,2026-06-26
000426,兴业银锡,有色金属,B+：可小仓配置/等待回调,71.3,2.5,1.5%-3%,33.01,10.95,5.41,58613735744.39,19.6,19.0,30.087818755564,11.398485612054,85.321322384965,257.324560661487,1.459780900942,40.7589325154,-17.63972055888223,-6.407711936489946,-55.86898395721926,2026-06-26
605016,百龙创园,基础化工,B+：可小仓配置/等待回调,71.1,2.5,1.5%-3%,24.77,21.57,5.17,10403705166.4,19.49,16.146666666666665,19.745666616079,50.062112380899,25.315394299989,48.104107990413,0.367521157938,19.5018250422,1.1020408163265216,15.370284117373089,-14.40912232204562,2026-06-26
002947,恒铭达,电子,B+：可小仓配置/等待回调,70.4,2.5,1.5%-3%,81.44,34.46,6.71,20865688323.84,17.02,16.476666666666667,14.942540534452,16.430681354331,10.039463068998,39.906929422468,1.28681095319,29.6073234307,57.1897317120247,74.12871498824032,-22.438095238095237,2026-06-26
002847,盐津铺子,食品饮料,B+：可小仓配置/等待回调,70.2,2.5,1.5%-3%,44.84,13.13,6.38,12115204764.76,36.82,38.86666666666667,8.640677522029,16.94951547031,2.938452108336,29.483191346664,1.223946632937,47.0689850172,-23.455104131102754,-36.21621621621621,-40.51472539135048,2026-06-26
002463,沪电股份,电子,B+：可小仓配置/等待回调,70.0,2.5,1.5%-3%,147.28,57.05,17.91,283420261729.36,28.57,23.22,42.0017369822,47.737015416548,53.906140976542,62.903309055073,1.013956335746,46.457351344,83.7783878213127,107.67061477721379,-5.789036013561066,2026-06-26
002832,比音勒芬,纺织服饰,B：观察仓,68.2,0.0,0%-1.5%,20.0,7.39,2.14,11414141680.0,10.52,15.493333333333332,7.72756820267,-29.460801231479,18.361945482444,16.538229003114,1.25513683936,29.564469578,20.048019207683065,39.372822299651574,-10.313901345291487,2026-06-26
001389,广合科技,电子,B：观察仓,67.5,0.0,0%-1.5%,220.88,66.48,14.48,104380105072.31999,29.24,26.903333333333336,46.892161263086,50.242336091588,71.351748248533,63.310832785129,1.015536296553,47.2547551459,92.28693305475755,176.10000000000002,0.0,2026-06-26
603170,宝立食品,食品饮料,B：观察仓,65.6,0.0,0%-1.5%,11.34,17.29,3.18,4536113400.0,18.36,20.006666666666664,10.65625634456,12.590151119541,16.002948110301,12.576978168387,0.937761889631,26.1524418063,-8.842443729903538,-20.643806857942614,-26.696832579185525,2026-06-26
000682,东方电子,电力设备,B：观察仓,65.4,0.0,0%-1.5%,12.6,17.91,2.75,16893160288.199999,16.5,14.32,11.036447792893,33.350030626001,8.051134991794,95.055281106625,0.87150658966,54.2740853545,-0.23752969121141332,7.600341588385984,-18.6046511627907,2026-06-26
000526,学大教育,社会服务,B：观察仓,64.9,0.0,0%-1.5%,24.6,8.27,2.88,2997783281.4,22.86,26.223333333333333,15.839214974092,8.577730671362,10.06378199752,22.903956210456,3.905125828886,76.808734296,-22.077922077922075,-36.186770428015556,-42.77739009071877,2026-06-26
603040,新坐标,汽车,B：观察仓,64.9,0.0,0%-1.5%,62.33,46.5,8.46,12301291229.76,18.73,16.956666666666667,18.20771183778,26.109497105759,12.156865020625,-1.029067815208,1.349986628062,12.7515832029,13.678643078606601,16.98573573573574,-27.022596885610582,2026-06-26
600660,福耀玻璃,汽车,B：观察仓,64.8,0.0,0%-1.5%,50.43,19.22,3.65,131609366318.76,25.56,22.416666666666668,16.65096138882,24.197570080739,5.075813469205,-15.676921122115,1.293909398983,46.4018008554,-10.727562400424862,-17.973324658425504,-20.968500235072874,2026-06-26
603338,浙江鼎力,机械设备,B：观察仓,64.3,0.0,0%-1.5%,43.49,12.16,1.96,22021069257.710003,17.78,19.45,9.957368031075,16.601067513465,29.477212969632,5.661576505119,0.69108701303,34.2549754478,-9.54658901830282,-21.09941944847604,-29.100097815454838,2026-06-26
600809,山西汾酒,食品饮料,B：观察仓,62.9,0.0,0%-1.5%,108.1,6.13,2.93,131878132398.2,33.48,38.74,7.517885961356,0.028138904109,-9.680149759211,-19.029852534585,0.733089283111,28.7429091315,-27.185773945844005,-39.029892836999444,-41.240419633635916,2026-06-26
000423,东阿阿胶,医药生物,C：暂不配置,61.3,0.0,0%,43.48,15.39,2.84,28000112307.519997,16.66,14.116666666666667,8.832092213522,11.663026934503,5.519852347096,7.137737330012,1.316641378766,22.5537573588,-20.132255694342394,-8.923334729786358,-23.625505006147907,2026-06-26
603199,九华旅游,社会服务,C：暂不配置,60.4,0.0,0%,31.01,12.34,2.1,3432186800.0,13.55,13.116666666666667,14.929681563799,14.416914422729,0.166946570475,1.308414255759,1.467749837112,15.3711267967,-19.76714100905562,-13.597102256896065,-30.950790469828537,2026-06-26
002979,雷赛智能,机械设备,C：暂不配置,60.3,0.0,0%,51.65,56.58,8.62,16321232189.15,12.99,12.840000000000002,18.276734552099,12.424992905422,34.548325001592,29.202775769303,1.221750444116,42.4453719179,44.799551443790286,32.33410197284139,-22.841350463101286,2026-06-26
603193,润本股份,美容护理,C：暂不配置,59.2,0.0,0%,18.34,35.24,3.42,7420241378.76,14.54,17.363333333333333,17.191557254992,4.77738590747,11.27378436444,19.091771173816,0.87522164869,4.9957374341,-12.248803827751187,-23.83720930232558,-30.844645550527904,2026-06-26
600276,恒瑞医药,医药生物,C：暂不配置,58.1,0.0,0%,48.67,35.39,5.18,323032517867.58,14.26,13.326666666666668,13.024342516962,21.692131889131,12.975362979304,21.782316948345,1.455925211992,11.5511699142,-11.476900691160418,-20.99025974025974,-25.84184062166691,2026-06-26
000999,华润三九,医药生物,C：暂不配置,57.9,0.0,0%,22.16,8.57,1.66,36879067733.28,16.07,16.419999999999998,14.433218217679,1.577018901796,18.620434210064,-15.291685979756,1.323363705826,34.5764640062,-19.035440263061755,-20.28776978417266,-25.88628762541806,2026-06-26
002595,豪迈科技,机械设备,C：暂不配置,57.5,0.0,0%,46.74,26.3,4.62,54218400000.0,21.8,21.153333333333332,25.700420130756,18.986850284813,17.070342798499,-0.834256522516,0.431643158835,18.4921306099,-17.478813559322028,-17.391304347826086,-32.56384360121195,2026-06-26
002895,川恒股份,基础化工,C：暂不配置,56.9,0.0,0%,30.46,24.46,2.63,18455908426.18,18.17,16.933333333333334,41.019374030945,31.757910661837,22.137843221884,-6.624721530444,0.480730118031,36.0428948308,-20.1572739187418,-11.658932714617155,-31.581311769991018,2026-06-26
002130,沃尔核材,电子,C：暂不配置,55.8,0.0,0%,17.77,26.89,2.72,24875998422.739998,19.05,16.78,22.004211279141,34.961627141379,15.519936709372,-7.629115711567,0.950353099189,44.7640289623,-25.33613445378151,-33.220593761743714,-48.16219369894983,2026-06-26
003006,百亚股份,美容护理,C：暂不配置,55.1,0.0,0%,13.81,10.32,4.23,5933435979.900001,14.83,17.94333333333333,7.320385114794,-27.703970414333,6.011173416074,10.026380993912,0.958559364858,31.2803743667,-19.381202568593103,-33.15585672797676,-39.16299559471366,2026-06-26
605116,奥锐特,医药生物,C：暂不配置,53.2,0.0,0%,18.85,29.94,2.99,7656553960.900001,22.05,18.496666666666666,15.025436216157,26.61221960679,-3.167383693751,-46.467781767057,0.938305670592,37.0543145477,-28.435839028094144,-16.923754958131333,-46.509648127128266,2026-06-26
603119,浙江荣泰,汽车,C：暂不配置,49.1,0.0,0%,64.42,106.08,15.04,30461639138.56,14.41,14.83,21.237071082136,20.903700979792,41.261522191011,20.62541008122,0.98972206953,34.3563632417,12.681476298758088,-6.664734859461019,-32.622110657880974,2026-06-26
002371,北方华创,电子,C：暂不配置,47.1,0.0,0%,813.37,90.27,15.24,590253824604.0,16.41,18.30666666666667,30.850525003344,-1.774593786742,25.796090241943,3.418201634519,0.394431717167,51.0832216197,79.55980396485496,68.95226621245483,-1.7669082125603808,2026-06-26
603099,长白山,社会服务,C：暂不配置,46.1,0.0,0%,35.11,295.27,6.35,9562414244.6,10.33,12.549999999999999,5.981100967498,-10.332747718577,21.373207429652,84.232324828763,1.385068718077,18.0447478156,-2.9037610619468968,-21.80400890868597,-32.73946360153257,2026-06-26
601126,四方股份,电力设备,C：暂不配置,45.0,0.0,0%,65.16,50.14,11.88,54285154380.0,17.75,16.613333333333333,17.873503192498,15.844708746511,18.052040382479,12.07907470487,1.477369785886,61.4629871516,44.60719041278294,121.33152173913042,-26.088929219600733,2026-06-26
002880,卫光生物,医药生物,C：暂不配置,43.4,0.0,0%,20.02,36.64,1.89,4540536000.0,10.67,11.343333333333334,5.275073838487,-2.838272275923,-1.391231961609,-29.211172991278,1.070754269781,34.6228766732,-26.74716428832784,-21.918876755070205,-40.39892825245609,2026-06-26
000534,万泽股份,医药生物,C：暂不配置,43.2,0.0,0%,27.4,45.06,8.13,13961629338.4,13.31,13.729999999999999,19.616547902498,2.219482992079,7.38579164485,6.575090230814,0.668168672746,61.4717508494,-28.459530026109658,23.256860098965348,-44.240944240944245,2026-06-26
001359,平安电工,基础化工,C：暂不配置,42.0,0.0,0%,129.93,141.76,15.72,31333154032.02,12.58,15.173333333333332,12.522703454087,11.101179865807,20.606372734628,5.507602762814,0.644019661398,18.3853138653,142.271116912176,114.8668761369274,-3.066248880931055,2026-06-26
002138,顺络电子,电子,C：暂不配置,40.6,0.0,0%,68.82,77.99,8.73,55490829122.27999,16.06,13.656666666666666,14.386877128285,22.705893494273,15.340722241002,-23.705233703006,1.489353949447,44.1599259865,101.87738339689054,102.05519671168521,-8.847682119205302,2026-06-26
002827,高争民爆,基础化工,C：暂不配置,37.5,0.0,0%,23.94,175.09,6.37,6632481240.0,19.79,16.33,7.987004450775,33.639279550099,0.238317865577,-46.265504366613,0.859800611925,52.9546889425,-25.14071294559099,-37.49347258485639,-43.054234062797335,2026-06-26
603088,宁波精达,机械设备,C：暂不配置,37.4,0.0,0%,9.69,151.68,4.58,4868139390.54,12.23,19.543333333333333,7.748939982886,-27.026594447945,-11.401678242379,-77.943021080436,1.671224534298,40.8231530806,-18.97993311036791,-5.647517039922101,-31.276595744680858,2026-06-26
